"id","kind","file","width","height","pivot_x","pivot_y","status","references","full_prompt","processing","sha256"
"inn_a","base","assets/bld/inn_a-v1.png","352","280","164","271","candidate","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8e9-c73c-7df0-8174-f7c58669d181/exec-1dc92896-3452-4db2-9762-33d0cf2ec471.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png","Edit this exact inn sprite. Preserve its courtyard, stable wing, pictorial sign, proportions and camera. Replace EVERY rounded barrel tile on all roofs with THIN FLAT RECTANGULAR PEG TILES like traditional English clay shingles, flat faces with straight edges, no tube shapes. REMOVE every pixel of surrounding colored aura/shadow gradient and all courtyard floor coloration: these areas must be truly transparent, not painted grey, brown or black. Keep only structural buildings, courtyard walls and gate. Completely isolated clean RGBA sprite without any background or platform. Interior empty courtyard ground is transparent. No chimneys. No other changes.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","805ee5d3aa8739018a7495dc4034f47b29f309c74acd337d7e197722f824ed9f"
"inn_a_active","active","assets/active/inn_a-active-v1.png","352","280","164","271","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/inn_a-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. LAYOUT: two clearly SEPARATE isolated effect components on one WIDE transparent canvas, LEFT HALF contains only A chestnut stable HORSE HEAD AND NECK peering forward, neck bottom cutoff to hide behind a stall door. SW isometric, calm restrained anatomy. RIGHT HALF contains only A small warm amber RECTANGULAR window-light patch, plain translucent glow with slight hand-painted soft variation, no window frame, no border. Leave a wide transparent gutter at image midpoint. Both parts entirely inside their half. These are ingredients for ONE registered building operating overlay.","Generated prop/effect crop placed at manually inspected native base feature coordinates.","61efaec46c49b1218bdf7e083b60afc1c979447b17b77b8943d59af88db09b09"
"inn_b","base","assets/bld/inn_b-v1.png","352","280","206","271","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/storehouse.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET inn_b: Same wealth and materials as inn_a. Change roof pitch, courtyard gate position and small rear lean-to; keep open courtyard, one-storey stable wing and pictorial horse sign. Two-storey hall, NO chimney.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","bf5d87b560373de18c3250bd2ff4944ade46594e12bb79714472820c489755a6"
"inn_b_active","active","assets/active/inn_b-active-v1.png","352","280","206","271","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/inn_b-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. LAYOUT: two clearly SEPARATE isolated effect components on one WIDE transparent canvas, LEFT HALF contains only A dark brown stable HORSE HEAD AND NECK peering forward, neck bottom cutoff to hide behind a stall door. SW isometric, calm restrained anatomy. RIGHT HALF contains only A small warm amber RECTANGULAR window-light patch, plain translucent glow with slight hand-painted soft variation, no window frame, no border. Leave a wide transparent gutter at image midpoint. Both parts entirely inside their half. These are ingredients for ONE registered building operating overlay.","Generated prop/effect crop placed at manually inspected native base feature coordinates.","9d8e7394719addb164ea4cc33731728f5a35d7914e71dbdd462d1942ed80c8a3"
"communal_oven","base","assets/bld/communal_oven-v1.png","144","160","91","151","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/storehouse.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET communal_oven: Independent communal BREAD OVEN: squat rubble-stone domed bread chamber with small arched oven mouth and a simple thatched shelter roof over working side, small working oven vent. No house, no windmill. Cold idle oven. Compact single tile.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","4b1b0960e9654539b4ecb3f3bc4358ab993742b3ad10b408571ca448d30dd43b"
"communal_oven_active","active","assets/active/communal_oven-active-v1.png","144","160","91","151","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/communal_oven-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. LAYOUT: two clearly SEPARATE isolated effect components on one WIDE transparent canvas, LEFT HALF contains only One narrow vertical plume of soft muted pale-grey oven SMOKE, very thin at bottom emitting point, broader softly curling top, transparent wispy edges. No chimney. RIGHT HALF contains only A small low pile of glowing orange bread-oven EMBERS with two tiny yellow-orange flames, no stove or stone. Leave a wide transparent gutter at image midpoint. Both parts entirely inside their half. These are ingredients for ONE registered building operating overlay.","Generated prop/effect crop placed at manually inspected native base feature coordinates.","ab8c32bac0c297e70d1549b54005fb4a238bc3c17f669048c21ea657fb1a4e9f"
"ditch_drain","base","assets/bld/ditch_drain-v1.png","128","64","81","52","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/storehouse.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET ditch_drain: Roadside open drainage DITCH DECAL, horizontal repeatable shallow irregular earth trench, muted moist grey-brown soil lip and subtle narrow muddy channel. Entire horizontal ditch reaches and crosses left and right image edges with matching profile for seamless repetition. Transparent outer ground edges, no grass platform, no buildings, no people, no isolated oval. A 2:1 horizontal strip, compact and low.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","a31bd52910edbc49843a36c4fa40be5dae334874129d60f536bb664a2be62d9c"
"smithy_a","base","assets/bld/smithy_a-v1.png","137","137","80","128","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/storehouse.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite. ASSET smithy_a: one tile ordinary two-storey STREET WORKSHOP matching reference L2 house scale and wealth. Simple tiled gabled roof over oak/plaster upper dwelling. OPEN GROUND FLOOR WORK BAY on southwest front, sturdy oak posts, one visible anvil, ironworking stone FORGE at right-back of bay, tool rack. This is the sole intentional industrial flue: short stone flue connected visibly to the forge furnace rising just past right roof eave. No domestic chimney or decorative chimney pot. Cold dark furnace, no glow/sparks/smoke. Compact rectangle, no yard/platform.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","f915bfe2b4fea0d6e2dff33f0a766a6b271b66cd6f726764a25434ada68efed9"
"smithy_a_active","active","assets/active/smithy_a-active-v1.png","137","137","80","128","candidate","/tmp/astra-wave12-work-20260926/delivery/assets/bld/smithy_a-v1.png","Create ONE transparent RGBA active-overlay source for the supplied historical game building. Do NOT redraw ANY building or any ground. Output ONLY requested isolated effect/prop, as a clean hand-painted small game sprite matching the attached source's colours, thin dark brown outlines, upper-left lighting, SW orthographic 2:1 ground projection. Southern England AD1348, natural subdued colours, no text, no frame, no symbols. Entire remaining canvas must be true transparency, no background, painted checkerboard, shadows, aura or vignette. Do not enlarge ordinary props into monuments. EFFECT: One compact low bed of glowing amber forge COALS with tiny orange flame tongues and two upward sparks, no stone or equipment, no smoke.","Generated prop/effect crop placed at manually inspected native base feature coordinates.","196e8127240726f8d4534bebba775f63ff2fb48cf9671b48ab6029ea279f9fa0"
"smithy_b","base","assets/bld/smithy_b-v1.png","137","137","83","128","candidate","/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/house_l2-v2.png;/tmp/astra-wave12-work-20260926/astra-wave12-reference-files/storehouse.png","Create ONE isolated production game BUILDING sprite, true transparent RGBA, no background, no ground tile or terrain slab, no text, no border. Match these supplied project sprites' precise clean hand-painted prerendered 2D style: dark brown narrow outlines, warm muted terracotta FLAT small peg tiles, cream lime plaster, weathered oak, grey-brown rubble stone, soft upper-left light and only tiny contact AO. Southern England AD1348. Strict SW-view orthographic 2:1 isometric, parallel ground edges at +/-26.565 degrees; verticals vertical. Keep ordinary doors at same human scale as reference house. No perspective or photorealism. Entire asset visible with transparent margins. No domestic chimney, chimney pot or flue: domestic rooms use an internal open hearth. No glass or blue windows: dark unglazed openings with solid oak shutters. No people, no smoke, no glow in this idle base. No modern brick, slate, rounded/barrel/S-shaped tiles, fantasy ornaments, banners or lettering. Functional restrained vernacular building, NOT Tudor revival decoration. Use enough large simple functional details to remain legible as a small game sprite.  Roof tiles must be THIN FLAT rectangular shingles, absolutely NOT curved tubes. Transparent background includes all courtyards/negative space: NO painted haze, glow, brown aura, gradient shadow or halo. 
ASSET smithy_b: Compact ordinary L2 two-storey street SMITHY, front ground floor OPEN supported on plain oak posts, visible anvil and cold dark stone forge at left-front. Short STONE INDUSTRIAL FLUE connects to that forge, main upper dwelling has no domestic chimney. Change door and window placement and slightly shallower pitched roof from smithy_a, same wealth/materials. Flat peg tiles. No yard.","Opaque architectural alpha extraction at 240; one Lanczos downsample; common canvas; 2px RGB edge bleed in zero-alpha pixels.","e214148379a8394dd3da2c4c28a415ddcb5902d5a1f0d560396b11a4dce6d6ac"
