"asset_id","status","file","width","height","group","scene_description","characters","history_notes","sha256","generation_records","processing","readability","accepted","qa"
"event_first_winter","candidate","assets/events/event_first_winter.png","960","540","events","첫 겨울: 눈 내린 초가 마을의 곡창 앞, 남은 자루를 세는 청지기와 주민","청지기 1명, 주민 3명","1300–1318 잉글랜드 남부. 수공 목골조·초가·양모와 리넨, 문 표식·홉·관·흑사병·글자 없음. 겨울/재건/우천 초안의 굴뚝은 생성 편집으로 제거.","6ab5b3e8a6abb0b448f5e9fcdce92b3a315f6491c8a02aa04fd75a4032e9745f","[{""tool"":""builtin image_gen"",""prompt"":""Use case: historical-scene. Create ONE full-bleed wide 16:9 opaque event-card illustration, no frame. Southern England market village 1300–1318. References 1 and 2 are project-only hand-painted keyart style and materials; references 3 and 4 show restrained natural face rendering. Handpainted low-saturation gouache/oil-like brushwork, subtle paper grain, earthy umber, grey olive, weathered oak, warm plaster and straw; natural anatomy, quiet storytelling not fantasy caricature. Keep all important action within central 90 percent for 960x540 crop. NO letters, digits, pseudo-writing, door markings or painted X, no hops, no coffin, no plague, no primary/neon colours, no house chimney, no glass windows, no modern objects. Plain sacks and blank wood only. Do NOT copy the incorrect painted door X from reference2. Single coherent scene read without captions.\nScene: Snow has just settled thickly on thatched roofs and lane edges. In foreground outside a small timber granary, four ordinary villagers in muted wool and linen gather around SIX plain plump grain sacks in an orderly row. Steward counts by touching successive sacks with fingers, other hand open, no tablet or writing. An older woman looks concerned at limited winter stores, another carries one sack inside. Snowy village roofs establish winter clearly; food stock counting the central action."",""rawFile"":""raw/events-early/event_first_winter-v1.png"",""referenceImages"":[""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/키아트_타이틀_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/로딩화면_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P05.png"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}},{""tool"":""builtin image_gen"",""prompt"":""Edit this winter scene precisely. Remove EVERY chimney stack on ALL cottage roofs: far upper left tall stack, little stacks across left and center, and stack near upper center-right. Replace each with matching continuous snowy thatch and background sky/trees. These houses have no chimney anywhere, ridge vents are not visible. Preserve church tower cross (church tower is not a chimney), all people, sacks, granary, snow, composition, brushwork and every other detail. No text."",""rawFile"":""raw/events-early/event_first_winter-v2.png"",""referenceImages"":[""raw/events-early/event_first_winter-v1.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""resize"":""sharp 960×540 cover centre without stretching"",""alpha"":""opaque RGBA"",""sourceDimensions"":[1672,941]}","""high: main scene read without text""","pending user review","{""viewed"":true,""readability"":""high: main scene read without text"",""history"":""visual scan no prominent prohibited element"",""text"":""none visible"",""status"":""candidate""}"
"event_hungry_gap","candidate","assets/events/event_hungry_gap.png","960","540","events","보릿고개: 빈 곡창 바닥과 문밖 풋보리 밭을 바라보는 가족","부모와 아이 1명","1300–1318 잉글랜드 남부. 수공 목골조·초가·양모와 리넨, 문 표식·홉·관·흑사병·글자 없음. 겨울/재건/우천 초안의 굴뚝은 생성 편집으로 제거.","cacd148c88f24d44a675c68cb6bed353a5bc357afff2176c2a1148bd4fdb0b18","[{""tool"":""builtin image_gen"",""prompt"":""Use case: historical-scene. Create ONE full-bleed wide 16:9 opaque event-card illustration, no frame. Southern England market village 1300–1318. References 1 and 2 are project-only hand-painted keyart style and materials; references 3 and 4 show restrained natural face rendering. Handpainted low-saturation gouache/oil-like brushwork, subtle paper grain, earthy umber, grey olive, weathered oak, warm plaster and straw; natural anatomy, quiet storytelling not fantasy caricature. Keep all important action within central 90 percent for 960x540 crop. NO letters, digits, pseudo-writing, door markings or painted X, no hops, no coffin, no plague, no primary/neon colours, no house chimney, no glass windows, no modern objects. Plain sacks and blank wood only. Do NOT copy the incorrect painted door X from reference2. Single coherent scene read without captions.\nScene: Late spring hungry gap. View from inside a nearly empty timber granary with a wide foreground of bare worn wooden floor, a collapsed EMPTY sack and only a few scattered grains. At the large open door a peasant mother, father and child stand close together gazing toward a clearly GREEN UNRIPE BARLEY field outside in mild spring light. Father holds an empty wooden grain bowl tipped toward viewer; child holds mother hand. Concern and waiting not illness. Contrast empty store with unready crop unmistakable."",""rawFile"":""raw/events-early/event_hungry_gap-v1.png"",""referenceImages"":[""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/키아트_타이틀_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/로딩화면_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P05.png"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""resize"":""sharp 960×540 cover centre without stretching"",""alpha"":""opaque RGBA"",""sourceDimensions"":[1672,941]}","""high: main scene read without text""","pending user review","{""viewed"":true,""readability"":""high: main scene read without text"",""history"":""visual scan no prominent prohibited element"",""text"":""none visible"",""status"":""candidate""}"
"event_fire_warning","candidate","assets/events/event_fire_warning.png","960","540","events","화재 징후: 메마르고 밀집한 초가 지붕, 골목 먼 끝의 우물","지붕을 살피는 주민 2명","1300–1318 잉글랜드 남부. 수공 목골조·초가·양모와 리넨, 문 표식·홉·관·흑사병·글자 없음. 겨울/재건/우천 초안의 굴뚝은 생성 편집으로 제거.","2264805be9dc6291b83b2e3c03fa278555edcf68fb0e9b284718ac2ef2b069da","[{""tool"":""builtin image_gen"",""prompt"":""Use case: historical-scene. Create ONE full-bleed wide 16:9 opaque event-card illustration, no frame. Southern England market village 1300–1318. References 1 and 2 are project-only hand-painted keyart style and materials; references 3 and 4 show restrained natural face rendering. Handpainted low-saturation gouache/oil-like brushwork, subtle paper grain, earthy umber, grey olive, weathered oak, warm plaster and straw; natural anatomy, quiet storytelling not fantasy caricature. Keep all important action within central 90 percent for 960x540 crop. NO letters, digits, pseudo-writing, door markings or painted X, no hops, no coffin, no plague, no primary/neon colours, no house chimney, no glass windows, no modern objects. Plain sacks and blank wood only. Do NOT copy the incorrect painted door X from reference2. Single coherent scene read without captions.\nScene: Dry midsummer FIRE RISK before any actual fire. Elevated intimate street view dominated by very densely packed, dry brittle straw thatch eaves nearly touching across a narrow lane. Parched weeds and dusty earth, warm hazy dry sky. Two villagers foreground look upward worriedly at close dry eaves, one points along lane toward a SMALL DISTANT stone well at far end, conspicuously far from houses. No smoke, flame, sparks or fire anywhere. No signage. Composition emphasizes combustible roofs and inconvenient distant water.\nRoof ridges must be wholly uninterrupted thatch, absolutely no protruding chimney stacks."",""rawFile"":""raw/events-early/event_fire_warning-v1.png"",""referenceImages"":[""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/키아트_타이틀_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/로딩화면_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P05.png"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""resize"":""sharp 960×540 cover centre without stretching"",""alpha"":""opaque RGBA"",""sourceDimensions"":[1672,941]}","""medium: dry dense roofs and distant water legible; precise fire-risk meaning needs event context""","pending user review","{""viewed"":true,""readability"":""medium: dry dense roofs and distant water legible; precise fire-risk meaning needs event context"",""history"":""visual scan no prominent prohibited element"",""text"":""none visible"",""status"":""candidate""}"
"event_fire","candidate","assets/events/event_fire.png","960","540","events","밤 초가 화재와 우물에서 불길까지 물통을 나르는 주민 줄","양동이 전달 주민 8명","1300–1318 잉글랜드 남부. 수공 목골조·초가·양모와 리넨, 문 표식·홉·관·흑사병·글자 없음. 겨울/재건/우천 초안의 굴뚝은 생성 편집으로 제거.","4cb461b996fb0c5e59c74a54ec3a9e133a69dda88ab85a91459206b0ed8ba5e3","[{""tool"":""builtin image_gen"",""prompt"":""Use case: historical-scene. Create ONE full-bleed wide 16:9 opaque event-card illustration, no frame. Southern England market village 1300–1318. References 1 and 2 are project-only hand-painted keyart style and materials; references 3 and 4 show restrained natural face rendering. Handpainted low-saturation gouache/oil-like brushwork, subtle paper grain, earthy umber, grey olive, weathered oak, warm plaster and straw; natural anatomy, quiet storytelling not fantasy caricature. Keep all important action within central 90 percent for 960x540 crop. NO letters, digits, pseudo-writing, door markings or painted X, no hops, no coffin, no plague, no primary/neon colours, no house chimney, no glass windows, no modern objects. Plain sacks and blank wood only. Do NOT copy the incorrect painted door X from reference2. Single coherent scene read without captions.\nScene: Night-time thatched cottage fire. Orange flame consumes ONE straw roof at right; dark low-saturation slate-blue night and smoke backdrop. A clear diagonal bucket brigade of about eight villagers passes simple wooden water buckets HAND TO HAND from a stone well at left foreground toward burning building. Two people near fire pour water upward. Show chain of action clearly, calm determined faces, no injured people. Warm fire is localized, not neon spectacle. Neighboring timber-plaster roofs visibly endangered, no chimneys.\nAll roof ridges uninterrupted thatch except actual burning area, zero chimney stacks."",""rawFile"":""raw/events-early/event_fire-v1.png"",""referenceImages"":[""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/키아트_타이틀_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/로딩화면_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P05.png"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""resize"":""sharp 960×540 cover centre without stretching"",""alpha"":""opaque RGBA"",""sourceDimensions"":[1672,941]}","""high: main scene read without text""","pending user review","{""viewed"":true,""readability"":""high: main scene read without text"",""history"":""visual scan no prominent prohibited element"",""text"":""none visible"",""status"":""candidate""}"
"event_fire_aftermath","candidate","assets/events/event_fire_aftermath.png","960","540","events","화재 뒤: 그을린 잔해를 치우고 지상에서 짠 목골조를 세우는 목수들","목수와 잔해 정리 주민 5명","1300–1318 잉글랜드 남부. 수공 목골조·초가·양모와 리넨, 문 표식·홉·관·흑사병·글자 없음. 겨울/재건/우천 초안의 굴뚝은 생성 편집으로 제거.","9ef2a26d1ef66938f798f96fa590890cf9367db981fbaa14d09afc869b9f73ea","[{""tool"":""builtin image_gen"",""prompt"":""Use case: historical-scene. Create ONE full-bleed wide 16:9 opaque event-card illustration, no frame. Southern England market village 1300–1318. References 1 and 2 are project-only hand-painted keyart style and materials; references 3 and 4 show restrained natural face rendering. Handpainted low-saturation gouache/oil-like brushwork, subtle paper grain, earthy umber, grey olive, weathered oak, warm plaster and straw; natural anatomy, quiet storytelling not fantasy caricature. Keep all important action within central 90 percent for 960x540 crop. NO letters, digits, pseudo-writing, door markings or painted X, no hops, no coffin, no plague, no primary/neon colours, no house chimney, no glass windows, no modern objects. Plain sacks and blank wood only. Do NOT copy the incorrect painted door X from reference2. Single coherent scene read without captions.\nScene: Morning after cottage fire. Left foreground black charred broken beams and soot-stained rubble being cleared by two villagers into a low plain handcart. Center-right three carpenters with hemp ropes and a timber prop raise a NEW OAK WALL FRAME assembled flat on ground, currently tilted up halfway, mortise-and-tenon crossmembers obvious. Remaining low stone footing and partly blackened old upright reveal rebuilding same home. Ash grey and warm pale fresh oak contrast. No active fire, no machine/crane, no piles of random giant logs. Reconstruction hopeful but restrained.\nAll intact houses have uninterrupted roof ridges with NO chimney stacks."",""rawFile"":""raw/events-early/event_fire_aftermath-v1.png"",""referenceImages"":[""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/키아트_타이틀_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/로딩화면_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P05.png"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}},{""tool"":""builtin image_gen"",""prompt"":""Precise correction: remove every chimney from ALL background house roofs. There are small chimney stacks at upper left behind ruins and mid-left atop thatched roofs. Replace them with unbroken thatch/clay tile ridges and matching background. Every ordinary house is without a chimney. Preserve the actual church tower, burned upright timber posts in foreground, raised new oak frame and all five workers, cart, and painting. No other changes."",""rawFile"":""raw/events-early/event_fire_aftermath-v2.png"",""referenceImages"":[""raw/events-early/event_fire_aftermath-v1.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""resize"":""sharp 960×540 cover centre without stretching"",""alpha"":""opaque RGBA"",""sourceDimensions"":[1672,941]}","""high: main scene read without text""","pending user review","{""viewed"":true,""readability"":""high: main scene read without text"",""history"":""visual scan no prominent prohibited element"",""text"":""none visible"",""status"":""candidate""}"
"event_wet_summer","candidate","assets/events/event_wet_summer.png","960","540","events","흉년 예고: 장맛비에 쓰러진 밀과 이를 바라보는 농부","농부 1명","1300–1318 잉글랜드 남부. 수공 목골조·초가·양모와 리넨, 문 표식·홉·관·흑사병·글자 없음. 겨울/재건/우천 초안의 굴뚝은 생성 편집으로 제거.","baabe5c0b20f7e6d6531b86ab2b8b45f6f9b6e27d4ec133abde2f7b0ffc20443","[{""tool"":""builtin image_gen"",""prompt"":""Use case: historical-scene. Create ONE full-bleed wide 16:9 opaque event-card illustration, no frame. Southern England market village 1300–1318. References 1 and 2 are project-only hand-painted keyart style and materials; references 3 and 4 show restrained natural face rendering. Handpainted low-saturation gouache/oil-like brushwork, subtle paper grain, earthy umber, grey olive, weathered oak, warm plaster and straw; natural anatomy, quiet storytelling not fantasy caricature. Keep all important action within central 90 percent for 960x540 crop. NO letters, digits, pseudo-writing, door markings or painted X, no hops, no coffin, no plague, no primary/neon colours, no house chimney, no glass windows, no modern objects. Plain sacks and blank wood only. Do NOT copy the incorrect painted door X from reference2. Single coherent scene read without captions.\nScene: Rain-damaged midsummer wheat. Foreground broad field of long wheat stalks LODGED FLAT in tangled directional mats, muddy shallow puddles, visibly drooping ears; NOT harvested bundles and no harvest stubble. Rain streaks and heavy slate grey sky. At right foreground a farmer in sodden dull brown wool hood stands at field edge bending to lift one crushed wheat ear, gaze surveying damage. Distant modest thatched village no chimney. Same mood and material rendering as rain field quadrant reference2 but new composition, prominently show farmer and crop damage.\nAll distant houses have uninterrupted thatch roof ridges with zero chimney stacks."",""rawFile"":""raw/events-early/event_wet_summer-v1.png"",""referenceImages"":[""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/키아트_타이틀_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/로딩화면_화풍기준.jpg"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P05.png"",""/Users/rexxa/github/feudal-lord-simulator/references/astra-wave16/astra-wave16-reference-files/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}},{""tool"":""builtin image_gen"",""prompt"":""Precise historical correction: remove ALL tiny chimney stacks from distant village house roof ridges. In particular little brown protrusions at upper central thatch roof (roughly x670 y255) and roofs to its left and right. Continue unbroken straw thatch at each location. Keep the substantial stone church tower intact. Preserve farmer, every flattened wheat stalk, rain, puddles, colors, composition. No other changes."",""rawFile"":""raw/events-early/event_wet_summer-v2.png"",""referenceImages"":[""raw/events-early/event_wet_summer-v1.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}},{""tool"":""builtin image_gen"",""prompt"":""Edit only the distant village behind the farmer: repaint ALL distant cottage roofs as plain smooth low thatched roofs with absolutely nothing projecting above their ridge lines. Delete the clearly visible dark rectangular chimney on the large house left of center near the top, and every similar small upright roof protrusion. Retain the stone church tower. You must visibly remove those little dark upright rectangles. Keep foreground farmer, rain and flattened wheat exactly unchanged. No chimney or vent stack exists in this village."",""rawFile"":""raw/events-early/event_wet_summer-v3.png"",""referenceImages"":[""raw/events-early/event_wet_summer-v2.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""resize"":""sharp 960×540 cover centre without stretching"",""alpha"":""opaque RGBA"",""sourceDimensions"":[1672,941]}","""high: main scene read without text""","pending user review","{""viewed"":true,""readability"":""high: main scene read without text"",""history"":""visual scan no prominent prohibited element"",""text"":""none visible"",""status"":""candidate""}"
"event_bad_harvest","candidate","assets/events/event_bad_harvest.png","960","540","events","빈 수레에 마른 밀 묶음 몇 개만 싣는 흉년","농부 3명","1300–1318 잉글랜드 남부 시장도시. 소박한 양모·리넨, 초가·목골조·회칠 및 낮은 돌 기단. 문 표식·홉·관·흑사병·원색·주택 굴뚝·푸른 유리·글자 없음. ","975db47fb49596b928881c67f1b1c562fd78ae1b7a47442cee745a4d7a738f1e","[{""tool"":""builtin image_gen"",""prompt"":""Create one finished landscape 16:9 game event illustration, full-bleed with no framing, preferably 1536x864 or 1920x1080, for a 960x540 card. Hand-painted muted gouache/oil illustration matching the attached project's village keyart: visible fine painterly texture, believable medieval faces and anatomy, subdued ochres, browns, moss greens, grey skies; not photorealistic, not vector, not cartoon, not cinematic fantasy. Southern English market town circa 1300–1318. Keep scene legible at thumbnail. Attached title village is palette/architecture reference, P05/P13 face painting references only. Absolutely NO writing, letters, numbers, pseudo-writing, labels, border, modern objects, painted marks or X on doors, hops, coffins, plague, primary saturated colors, chimney stacks on homes, blue reflective glass. Blank parchment is blank, not filled with squiggles. Autumn harvest failure. In foreground three exhausted rural adults in coarse undyed wool and linen slowly load ONLY three small thin WHEAT sheaves into a nearly empty low medieval wooden two-wheel farm cart. Large bare cart bed visibly dwarfs the meagre harvest. One woman bends with a thin bundle, man rests on cart side, older farmer holds last sheaf. Sparse flattened wheat stubble, muddy poor field, modest thatched village in distance. No rice, no mound of harvest, no celebratory abundance."",""rawFile"":""raw/events-late/event_bad_harvest.png"",""referenceImages"":[""references/키아트_타이틀_화풍기준.jpg"",""references/P05.png"",""references/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""operation"":""Sharp Lanczos resize cover to 960x540; preserve aspect ratio, no stretch; ensure RGBA"",""selectedRaw"":""raw/events-late/event_bad_harvest.png""}","""pass at 480x270; primary action clearly distinguishable without text""","pending user review","{""reviewed"":true,""readability"":""pass at 480x270; primary action clearly distinguishable without text"",""history"":""visible forbidden elements absent"",""limitations"":null}"
"event_market_petition","candidate","assets/events/event_market_petition.png","960","540","events","영주관 밖에서 모자를 벗어 손에 들고 빈 청원서를 내미는 상인들","청원 상인 3명·청지기·문지기","1300–1318 잉글랜드 남부 시장도시. 소박한 양모·리넨, 초가·목골조·회칠 및 낮은 돌 기단. 문 표식·홉·관·흑사병·원색·주택 굴뚝·푸른 유리·글자 없음. ","cf3b6b0d2658b1e8272da7ace4eb08d05d1bb78b3556ea67d873767a08a4df30","[{""tool"":""builtin image_gen"",""prompt"":""Create one finished landscape 16:9 game event illustration, full-bleed with no framing, preferably 1536x864 or 1920x1080, for a 960x540 card. Hand-painted muted gouache/oil illustration matching the attached project's village keyart: visible fine painterly texture, believable medieval faces and anatomy, subdued ochres, browns, moss greens, grey skies; not photorealistic, not vector, not cartoon, not cinematic fantasy. Southern English market town circa 1300–1318. Keep scene legible at thumbnail. Attached title village is palette/architecture reference, P05/P13 face painting references only. Absolutely NO writing, letters, numbers, pseudo-writing, labels, border, modern objects, painted marks or X on doors, hops, coffins, plague, primary saturated colors, chimney stacks on homes, blue reflective glass. Blank parchment is blank, not filled with squiggles. Merchants petition their lord. Outside the plain heavy oak doorway of a modest timber-framed lord's hall, three earnest merchants stand respectfully with their soft caps visibly held IN THEIR HANDS. Foremost merchant extends one blank unrolled cream parchment toward a steward standing on one low stone step. Subdued brown and faded claret long wool tunics, attentive restrained expressions. View establishes hall exterior and humble supplicants, not a market speech. No crown, no lavish palace, no writing on parchment or building."",""rawFile"":""raw/events-late/event_market_petition.png"",""referenceImages"":[""references/키아트_타이틀_화풍기준.jpg"",""references/P05.png"",""references/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}},{""tool"":""builtin image_gen targeted edit"",""prompt"":""Precise correction of attached existing historical painting. Preserve the entire composition, all faces, clothing, hands, blank parchment, landscape, palette, painterly texture, canvas and perspective. REMOVE the hats from heads of ONLY TWO supplicants: the LEFTMOST red-clad merchant (currently wearing cream cap on head) and the CENTER-RIGHT claret merchant presenting parchment (currently wearing navy cap on head). Both are already holding their respective caps in their hands, which MUST remain unchanged. Reveal natural brown hair on both heads instead. The middle bearded merchant is already bareheaded and remains unchanged. All three supplicant merchants thus bareheaded and holding caps. Keep steward and guard headwear on far right unchanged. No added writing or symbols. Landscape16:9."",""rawFile"":""raw/events-late/event_market_petition-v2.png"",""referenceImages"":[""raw/events-late/event_market_petition-edit-input.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""operation"":""Sharp Lanczos resize cover to 960x540; preserve aspect ratio, no stretch; ensure RGBA"",""selectedRaw"":""raw/events-late/event_market_petition-v2.png""}","""pass at 480x270; primary action clearly distinguishable without text""","pending user review","{""reviewed"":true,""readability"":""pass at 480x270; primary action clearly distinguishable without text"",""history"":""visible forbidden elements absent"",""limitations"":null,""correction"":""Removed duplicate worn caps from two petitioners; all three now bareheaded holding caps.""}"
"event_market_charter","candidate","assets/events/event_market_charter.png","960","540","events","시장 십자가 앞 빈 특허 문서를 낭독하는 관리와 군중","관리·모인 주민들","1300–1318 잉글랜드 남부 시장도시. 소박한 양모·리넨, 초가·목골조·회칠 및 낮은 돌 기단. 문 표식·홉·관·흑사병·원색·주택 굴뚝·푸른 유리·글자 없음. 특허를 선언하는 장소는 석조 시장 십자가.","7cf9a0bfa994773233adb11cbd10de118495463dfd78624e9e0db664b2cd48d2","[{""tool"":""builtin image_gen"",""prompt"":""Create one finished landscape 16:9 game event illustration, full-bleed with no framing, preferably 1536x864 or 1920x1080, for a 960x540 card. Hand-painted muted gouache/oil illustration matching the attached project's village keyart: visible fine painterly texture, believable medieval faces and anatomy, subdued ochres, browns, moss greens, grey skies; not photorealistic, not vector, not cartoon, not cinematic fantasy. Southern English market town circa 1300–1318. Keep scene legible at thumbnail. Attached title village is palette/architecture reference, P05/P13 face painting references only. Absolutely NO writing, letters, numbers, pseudo-writing, labels, border, modern objects, painted marks or X on doors, hops, coffins, plague, primary saturated colors, chimney stacks on homes, blue reflective glass. Blank parchment is blank, not filled with squiggles. Public proclamation of a market charter. At a weathered STONE MARKET CROSS on a stepped stone base in the town square, one official in subdued russet wool stands above an assembled semicircle of townspeople and reads from a wide blank cream parchment. The tall carved stone cross is fully recognisable behind him, crowd faces toward him, townspeople with caps/hoods and work clothes. Small modest timber-framed shops around square. Distinct public ceremony, hopeful attentive crowd. No heraldry banners, no letters on parchment, no pulpit, no lord's doorway."",""rawFile"":""raw/events-late/event_market_charter.png"",""referenceImages"":[""references/키아트_타이틀_화풍기준.jpg"",""references/P05.png"",""references/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""operation"":""Sharp Lanczos resize cover to 960x540; preserve aspect ratio, no stretch; ensure RGBA"",""selectedRaw"":""raw/events-late/event_market_charter.png""}","""pass at 480x270; primary action clearly distinguishable without text""","pending user review","{""reviewed"":true,""readability"":""pass at 480x270; primary action clearly distinguishable without text"",""history"":""visible forbidden elements absent"",""limitations"":null}"
"event_palisade","candidate","assets/events/event_palisade.png","960","540","events","흙 도랑에 거친 목책 말뚝을 함께 세우는 주민들","목책 작업 인부들","1300–1318 잉글랜드 남부 시장도시. 소박한 양모·리넨, 초가·목골조·회칠 및 낮은 돌 기단. 문 표식·홉·관·흑사병·원색·주택 굴뚝·푸른 유리·글자 없음. ","b0fd030d366d0188c238c3916f167638223489390608b2874fa479498369788a","[{""tool"":""builtin image_gen"",""prompt"":""Create one finished landscape 16:9 game event illustration, full-bleed with no framing, preferably 1536x864 or 1920x1080, for a 960x540 card. Hand-painted muted gouache/oil illustration matching the attached project's village keyart: visible fine painterly texture, believable medieval faces and anatomy, subdued ochres, browns, moss greens, grey skies; not photorealistic, not vector, not cartoon, not cinematic fantasy. Southern English market town circa 1300–1318. Keep scene legible at thumbnail. Attached title village is palette/architecture reference, P05/P13 face painting references only. Absolutely NO writing, letters, numbers, pseudo-writing, labels, border, modern objects, painted marks or X on doors, hops, coffins, plague, primary saturated colors, chimney stacks on homes, blue reflective glass. Blank parchment is blank, not filled with squiggles. Communal construction of a timber palisade. Several medieval workers raise one long rough sharpened oak stake upright into an open narrow earth trench, using rope and coordinated hands. A short completed line of pointed oak stakes recedes into distance, another labourer tamps earth with wooden tool. Show teamwork and upright stake clearly, rough bark, mud, warm grey daylight, modest thatch village behind. No stone castle, no modern helmets, machinery or metal scaffold. Faces natural and restrained."",""rawFile"":""raw/events-late/event_palisade.png"",""referenceImages"":[""references/키아트_타이틀_화풍기준.jpg"",""references/P05.png"",""references/P13.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1672,""height"":941}}]","{""operation"":""Sharp Lanczos resize cover to 960x540; preserve aspect ratio, no stretch; ensure RGBA"",""selectedRaw"":""raw/events-late/event_palisade.png""}","""pass at 480x270; primary action clearly distinguishable without text""","pending user review","{""reviewed"":true,""readability"":""pass at 480x270; primary action clearly distinguishable without text"",""history"":""visible forbidden elements absent"",""limitations"":null}"
