id,role,same_identity_256_96,expected_prop,observed_prop,prop_group_match,expected_class,predicted_class,class_correct,confidence,notes
I069_young,방앗간 주인,PASS_WITH_LIMITATIONS,grain_measure,wooden bowl containing grain or meal,True,artisan,artisan,True,0.91,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I069_mature,방앗간 주인,PASS_WITH_LIMITATIONS,grain_measure,wooden bowl containing grain or meal,True,artisan,artisan,True,0.91,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I069_old,방앗간 주인,PASS_WITH_LIMITATIONS,grain_measure,wooden bowl containing grain or meal,True,artisan,artisan,True,0.91,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I070_young,에일 양조 여인,PASS_WITH_LIMITATIONS,ale_jug,green glazed earthenware jug,True,artisan,artisan,True,0.67,Artisan versus labour is ambiguous from ordinary apron clothing alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I070_mature,에일 양조 여인,PASS_WITH_LIMITATIONS,ale_jug,green glazed earthenware jug,True,artisan,artisan,True,0.67,Artisan versus labour is ambiguous from ordinary apron clothing alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I070_old,에일 양조 여인,PASS_WITH_LIMITATIONS,ale_jug,green glazed earthenware jug,True,artisan,artisan,True,0.67,Artisan versus labour is ambiguous from ordinary apron clothing alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I071_young,빵집 주인,PASS_WITH_LIMITATIONS,none,none,True,artisan,labour,False,0.65,Labour versus poor servant is ambiguous; apron supports manual work. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I071_mature,빵집 주인,PASS_WITH_LIMITATIONS,none,none,True,artisan,labour,False,0.65,Labour versus poor servant is ambiguous; apron supports manual work. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I071_old,빵집 주인,PASS_WITH_LIMITATIONS,none,none,True,artisan,labour,False,0.65,Labour versus poor servant is ambiguous; apron supports manual work. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I072_young,reeve 촌장·수확 감독,PASS_WITH_LIMITATIONS,measuring_rod,straight wooden handle or narrow tool shaft at lower right,True,labour,labour,True,0.72,Only shaft is visible; exact tool cannot be identified. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I072_mature,reeve 촌장·수확 감독,PASS_WITH_LIMITATIONS,measuring_rod,straight wooden handle or narrow tool shaft at lower right,True,labour,labour,True,0.72,Only shaft is visible; exact tool cannot be identified. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I072_old,reeve 촌장·수확 감독,PASS_WITH_LIMITATIONS,measuring_rod,straight wooden handle or narrow tool shaft at lower right,True,labour,labour,True,0.72,Only shaft is visible; exact tool cannot be identified. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I073_young,bailiff 영주 집행관,PASS_WITH_LIMITATIONS,key_ring,bunch of metal keys,True,gentry,gentry,True,0.92,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I073_mature,bailiff 영주 집행관,PASS_WITH_LIMITATIONS,key_ring,bunch of metal keys,True,gentry,gentry,True,0.92,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I073_old,bailiff 영주 집행관,PASS_WITH_LIMITATIONS,key_ring,bunch of metal keys,True,gentry,gentry,True,0.92,Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I074_young,constable 치안 담당,PASS_WITH_LIMITATIONS,none,none,True,labour,labour,True,0.65,"Cross-body strap alone is clothing/equipment support, no discrete carried object visible. Labour versus artisan uncertain. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I074_mature,constable 치안 담당,PASS_WITH_LIMITATIONS,none,none,True,labour,labour,True,0.65,"Cross-body strap alone is clothing/equipment support, no discrete carried object visible. Labour versus artisan uncertain. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I074_old,constable 치안 담당,PASS_WITH_LIMITATIONS,none,none,True,labour,labour,True,0.65,"Cross-body strap alone is clothing/equipment support, no discrete carried object visible. Labour versus artisan uncertain. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed."
I075_young,beadle 교구 잡역,PASS_WITH_LIMITATIONS,none,none,True,clerical,poor_servant,False,0.66,Low-income clothing overlaps labour. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I075_mature,beadle 교구 잡역,PASS_WITH_LIMITATIONS,none,none,True,clerical,poor_servant,False,0.66,Low-income clothing overlaps labour. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I075_old,beadle 교구 잡역,PASS_WITH_LIMITATIONS,none,none,True,clerical,poor_servant,False,0.66,Low-income clothing overlaps labour. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
I076_young,청원하는 모직 상인 대표,PASS_WITH_LIMITATIONS,book_scroll,closed brown book,True,merchant,merchant,True,0.77,Merchant versus lesser gentry is uncertain from dress alone. Inspected at 256px and 96px. No severe anatomy defect or extraneous book observed.
