"identity_id","stage","id","file","sex","age","class","occupation","body","direction","hair_color","skin_tone","features","clothing","marital_status","expression","headwear_type","source_file","source_sha256","reference_files","prompt","sha256"
"I037","young","I037_young","portraits/I037_young.png","m","24","gentry","steward","thin","left","near-black","pale butter-ivory","low very broad rectangular forehead; unusually wide-set small grey eyes; very short broad saddle-bridge nose with squared tip; deeply cleft jutting square chin; long flat upper lip; large folded-top ears","fine deep forest-green broadcloth cote, strongly visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar, scarlet mantle fastened with bronze quatrefoil brooch, signet ring hand barely at lower edge","married","neutral","coif_cap","provenance/raw/I037_young.png","9699902d999d99349913d727fbe261b79a6f0d60d35022f2a66f49c3f9f6e122","provenance/references/5d0d60b8fddb-I037_young-before-r2.png","Edit ONLY the FUR MATERIAL in this finished portrait. Preserve exactly same face, age, hair, expression, headwear, anatomy, pose, clothing design/colors, background and framing. Replace every black-spotted white ermine-like fur collar/lining/trim with natural MINIVER SQUIRREL FUR: soft dense fine grey-white fur with gently blended grey areas, plain fur WITHOUT ANY BLACK SPOTS or black tail motifs. Greyandwhite shaded soft fur, not striped or spotted. Keep collarshape and luxurious thickness. THIS IS NOT ERMINE. All OTHER pixels/visualelements should remain visuallyunchanged. Same coherent natural hand-painted historicalportrait, no text, no panels, no flip.","62120dd567153893ca82bc7ad7a223952457fe81fc71b5445eef429baad7a878"
"I037","mature","I037_mature","portraits/I037_mature.png","m","45","gentry","steward","thin","left","near-black with scattered grey strands","pale butter-ivory","low very broad rectangular forehead; unusually wide-set small grey eyes; very short broad saddle-bridge nose with squared tip; deeply cleft jutting square chin; long flat upper lip; large folded-top ears","clearly high-status deep forest-green fine dense broadcloth cote, prominently visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen","married","slight_smile","hood","provenance/raw/I037_mature.png","8e4d634d5f3cd6a49795387093767f7640e79aa6b7f780051cd970dd353d3193","provenance/references/26b7def42975-I037_mature-before-r2.png","Edit ONLY the FUR MATERIAL in this finished portrait. Preserve exactly same face, age, hair, expression, headwear, anatomy, pose, clothing design/colors, background and framing. Replace every black-spotted white ermine-like fur collar/lining/trim with natural MINIVER SQUIRREL FUR: soft dense fine grey-white fur with gently blended grey areas, plain fur WITHOUT ANY BLACK SPOTS or black tail motifs. Greyandwhite shaded soft fur, not striped or spotted. Keep collarshape and luxurious thickness. THIS IS NOT ERMINE. All OTHER pixels/visualelements should remain visuallyunchanged. Same coherent natural hand-painted historicalportrait, no text, no panels, no flip.","edbec1c654c033299e84a253e1b16a5d6ff57b8ef4f38f973e0128f642361ac8"
"I037","old","I037_old","portraits/I037_old.png","m","70","gentry","steward","thin","left","silver-grey and white remnants of original near-black","pale butter-ivory","low very broad rectangular forehead; unusually wide-set small grey eyes; very short broad saddle-bridge nose with squared tip; deeply cleft jutting square chin; long flat upper lip; large folded-top ears","clearly high-status deep forest-green fine dense broadcloth cote, prominently visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen","widowed","tired_worried","bald","provenance/raw/I037_old.png","b99ddad2286f26c4bd8f9fce75aadbe90013f1f7f8fb2a02126f7046dfa693f2","provenance/references/a4602fa6e3ef-I037_old-before-r2.png","Edit ONLY the FUR MATERIAL in this finished portrait. Preserve exactly same face, age, hair, expression, headwear, anatomy, pose, clothing design/colors, background and framing. Replace every black-spotted white ermine-like fur collar/lining/trim with natural MINIVER SQUIRREL FUR: soft dense fine grey-white fur with gently blended grey areas, plain fur WITHOUT ANY BLACK SPOTS or black tail motifs. Greyandwhite shaded soft fur, not striped or spotted. Keep collarshape and luxurious thickness. THIS IS NOT ERMINE. All OTHER pixels/visualelements should remain visuallyunchanged. Same coherent natural hand-painted historicalportrait, no text, no panels, no flip.","fd69e6010c0819a0fdb5a3f1407bbddbd7a35abd3e7552a5feb57dea480d258e"
"I038","young","I038_young","portraits/I038_young.png","m","24","gentry","reeve","average","right","copper brown","fair cool rose with freckles","rounded tall cranium and narrow temples; very wide flat nose with flared nostrils; heavy drooping lids over large brown eyes; tiny heart-shaped mouth; broad round chin with off-centre dimple; small high ears","clearly high-status rich deep scarlet fine dense broadcloth cote, prominently visible warm fox fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen","unmarried","neutral","hood","provenance/raw/I038_young.png","f1d59c55e4a3c6b0e69eae0d89f8b7c993ff8f17b17cb7d3052417d428dc5e63","provenance/references/c88d923aca2f-파일럿_36명_통과_기준.jpg","Paint one complete indivisible square bust portrait, Southern England circa1300, same natural hand-painted realism and fine skin/wool brush texture as approved reference sheet. Reference is STYLE and quality ONLY; invent a completely NEW person unlike ANY reference face, never copy skull/eyes/nose. Opaque plain low-saturation grey-brown background, soft upper-left light, eyes40-48%height, comfortable head margin, full upper chest and shoulders to bottomedge. Natural realistic anatomy, no caricature, no photo filter, no black outlines/text/frame. DISTINCT CRANIOFACIAL IDENTITY and body silhouette. Skin tone and bodyfat do not imply wealth, morality or virtue. Draw desired direction from scratch NEVER mirror. Clothing MUST visibly identify circa1300 class: fine saturated but restrained scarlet/deepblue/forestgreen and sizeable miniver/fox fur for gentry, good mutedblue/plum wool and fur for merchant, workaprons/tools for artisan, coarse faded repairedcloth for labour/poor. All costumes painted coherently with face, not layers. Female headwear per subject must be structurally accurate and varied, NOT generic whiteveil every time. Adult male hair with straight or softlywavy blunt bob reaching BELOW EARS circa1300, no modern cropped sides/crewcut (except specified tonsure or bald elder). Expression MUST follow subject, mild lifelike smiling/worry/sharpness where specified. ONE complete natural hand-painted bust of I038, a 24-year-old man in southern England around 1300, reeve, genuinely facing image RIGHT in three-quarter view. Permanent unique anatomical identity: rounded tall cranium and narrow temples; very wide flat nose with flared nostrils; heavy drooping lids over large brown eyes; tiny heart-shaped mouth; broad round chin with off-centre dimple; small high ears. Build: ordinary medium neck and shoulders with moderate cheek tissue. Skin: fair cool rose with freckles; no complexion or body moral/class symbolism. Hair: copper brown; short divided copper beard; civilian hair below ears in natural blunt medieval bob unless tonsured or balding. Age: youthful facial tissue and clear eyes, no deep mature wrinkles. Expression: quiet neutral relaxed mouth and alert eyes. Clothing must visibly communicate occupation and class: clearly high-status rich deep scarlet fine dense broadcloth cote, prominently visible warm fox fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen. Headwear: early period chaperon in simple hood-and-cape form, NOT later turban form; visible natural ear-below bob hair. Across ages preserve this actual skull, nose, eye spacing, ear shape and chin asymmetry; do not substitute another actor. No modern fade, undercut, crew cut or makeup. Whole person painted together, no layers and no mirroring. Coherent upper-left light, flat muted grey-brown background, bust fills frame, eye line roughly 40–48 percent canvas height. Gentry colors visibly richer than labour cloth, never neon. Distinct realistic individual, no caricature or repeated pilot face.","03f1b3f11d43aa3870fcc1e7438ef3bf6b6e8569775ba246569279bd851649db"
"I038","mature","I038_mature","portraits/I038_mature.png","m","45","gentry","reeve","average","right","copper brown with scattered grey strands","fair cool rose with freckles","rounded tall cranium and narrow temples; very wide flat nose with flared nostrils; heavy drooping lids over large brown eyes; tiny heart-shaped mouth; broad round chin with off-centre dimple; small high ears","clearly high-status rich deep scarlet fine dense broadcloth cote, prominently visible warm fox fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen","married","neutral","felt_hat","provenance/raw/I038_mature.png","fc13de609d351bc544f8c6de9a0d42d197d5b0e3092aedb6a1a9cd259363de1e","provenance/references/03f1b3f11d43-I038_young.png","Identity-preserve edit. The reference is the SAME PERSON at the first life stage; age THAT person, do not create another actor. Keep distinctive skull proportions/nose/eye spacing/ears/mouth/chin and asymmetry recognizable even when expression or headwear changes. Paint anatomical aging integrated through eyes, cheeks, jaw and neck; not drawn wrinkle overlays. Young-to-old must read clearly elderly65-75, white-grey hair if visible, sagging tissues and irregular age spots. If child-to-young, grow that child into adult22 with developed jaw, adult neck and shoulders but same signature nose/eyes/ears. Keep original camera angle/direction and natural handpainted style, solidgrey-brown background upperleftlight and256logical squarebust framing. No flips, no layers, no text or grids. IMPORTANT apply the NEW specified expression, headwear and clothing exactly, do not freeze old headwear/clothing; preserve IDENTITY while wardrobe changes. The following specific targetstage is authoritative: ONE complete natural hand-painted bust of I038, a 45-year-old man in southern England around 1300, reeve, genuinely facing image RIGHT in three-quarter view. Permanent unique anatomical identity: rounded tall cranium and narrow temples; very wide flat nose with flared nostrils; heavy drooping lids over large brown eyes; tiny heart-shaped mouth; broad round chin with off-centre dimple; small high ears. Build: ordinary medium neck and shoulders with moderate cheek tissue. Skin: fair cool rose with freckles; no complexion or body moral/class symbolism. Hair: copper brown with scattered grey strands; short divided copper beard; civilian hair below ears in natural blunt medieval bob unless tonsured or balding. Age: same person in middle age, moderate crow feet and nasolabial folds, subtle greying, not elderly. Expression: quiet neutral relaxed mouth and alert eyes. Clothing must visibly communicate occupation and class: clearly high-status rich deep scarlet fine dense broadcloth cote, prominently visible warm fox fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen. Headwear: low soft felt hat over natural ear-below blunt bob. Across ages preserve this actual skull, nose, eye spacing, ear shape and chin asymmetry; do not substitute another actor. No modern fade, undercut, crew cut or makeup. Whole person painted together, no layers and no mirroring. Coherent upper-left light, flat muted grey-brown background, bust fills frame, eye line roughly 40–48 percent canvas height. Gentry colors visibly richer than labour cloth, never neon. Distinct realistic individual, no caricature or repeated pilot face.","e1c8124ff3f7ef3beffea9dee514b1089c5a5d36ef3a060d0e8e1f47104f4139"
"I038","old","I038_old","portraits/I038_old.png","m","70","gentry","reeve","average","right","silver-grey and white remnants of original copper brown","fair cool rose with freckles","rounded tall cranium and narrow temples; very wide flat nose with flared nostrils; heavy drooping lids over large brown eyes; tiny heart-shaped mouth; broad round chin with off-centre dimple; small high ears","clearly high-status rich deep scarlet fine dense broadcloth cote, prominently visible warm fox fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen; selected image retains red draped wool hood over white coif band","married","neutral","hood","provenance/raw/I038_old.png","670abbf890791c1761959917484331a9d6c07f7776e64beb603ee218b531cd29","provenance/references/03f1b3f11d43-I038_young.png","Identity-preserve edit. The reference is the SAME PERSON at the first life stage; age THAT person, do not create another actor. Keep distinctive skull proportions/nose/eye spacing/ears/mouth/chin and asymmetry recognizable even when expression or headwear changes. Paint anatomical aging integrated through eyes, cheeks, jaw and neck; not drawn wrinkle overlays. Young-to-old must read clearly elderly65-75, white-grey hair if visible, sagging tissues and irregular age spots. If child-to-young, grow that child into adult22 with developed jaw, adult neck and shoulders but same signature nose/eyes/ears. Keep original camera angle/direction and natural handpainted style, solidgrey-brown background upperleftlight and256logical squarebust framing. No flips, no layers, no text or grids. IMPORTANT apply the NEW specified expression, headwear and clothing exactly, do not freeze old headwear/clothing; preserve IDENTITY while wardrobe changes. The following specific targetstage is authoritative: ONE complete natural hand-painted bust of I038, a 70-year-old man in southern England around 1300, reeve, genuinely facing image RIGHT in three-quarter view. Permanent unique anatomical identity: rounded tall cranium and narrow temples; very wide flat nose with flared nostrils; heavy drooping lids over large brown eyes; tiny heart-shaped mouth; broad round chin with off-centre dimple; small high ears. Build: ordinary medium neck and shoulders with moderate cheek tissue. Skin: fair cool rose with freckles; no complexion or body moral/class symbolism. Hair: silver-grey and white remnants of original copper brown; short divided copper beard; civilian hair below ears in natural blunt medieval bob unless tonsured or balding. Age: same person in old age: natural deep wrinkles, eyelid/cheek sag and age spots, thinner grey-white hair, unchanged distinctive bone landmarks. Expression: quiet neutral relaxed mouth and alert eyes. Clothing must visibly communicate occupation and class: clearly high-status rich deep scarlet fine dense broadcloth cote, prominently visible warm fox fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen. Headwear: close linen coif under low felt cap; natural ear-below bob ends at sides. Across ages preserve this actual skull, nose, eye spacing, ear shape and chin asymmetry; do not substitute another actor. No modern fade, undercut, crew cut or makeup. Whole person painted together, no layers and no mirroring. Coherent upper-left light, flat muted grey-brown background, bust fills frame, eye line roughly 40–48 percent canvas height. Gentry colors visibly richer than labour cloth, never neon. Distinct realistic individual, no caricature or repeated pilot face.","bca5ac6a781f2290ea12e40503abe977622a70b968315bd6c684989f8f001a16"
"I039","young","I039_young","portraits/I039_young.png","m","24","gentry","estate clerk","fat","front","ash blond","light peach with olive undertone","broad pentagonal skull; close deep eye sockets around a sharply angular nasal root; short hooked nose with sideways triangular tip; protruding lower lip; tiny tucked chin above thick neck; large attached earlobes","clearly high-status deep saturated woad-blue fine dense broadcloth cote, prominently visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen","married","sharp_suspicious","felt_hat","provenance/raw/I039_young.png","ff0299dad7735c13732d44d17d60515a4d2d0562ab6ea28d31befa470129b1f8","provenance/references/41c7f7f1af4e-I039_young-before-r2.png","Edit ONLY FUR MATERIAL. Preserveexactlysameperson,face,age,expression,headwear,hair,pose,clothescolors andbackground. ReplaceALLblackspottedwhitefur with natural soft grey-white SQUIRREL MINIVER: gently blended greywhite fur, NO blackdots/spots/tails. NOTERMINE. Keep collarshape/thickness, allotherdetailsunchanged, samehandpaintedportrait noframes/text/flip.","dfc543036a13431d79a7e4b5b2448e7ba86e300711503c5f18528feb1f77ce1c"
"I039","mature","I039_mature","portraits/I039_mature.png","m","45","gentry","estate clerk","fat","front","ash blond with scattered grey strands","light peach with olive undertone","broad pentagonal skull; close deep eye sockets around a sharply angular nasal root; short hooked nose with sideways triangular tip; protruding lower lip; tiny tucked chin above thick neck; large attached earlobes","clearly high-status deep saturated woad-blue fine dense broadcloth cote, prominently visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen","married","neutral","coif_cap","provenance/raw/I039_mature.png","55df7ee73aee9d0b8d106e908860f864cf1dda58dd5b08c304a1e7f71c5f014e","provenance/references/dfc543036a13-I039_mature-r1-ref0.png","IDENTITY-PRESERVE completeportrait edit. ApplytargetchangesFIRST: Now45middleaged withmoderatecrowfeet/forehead/nasolabialfolds, subtlegreytemples. Notelderly. EXPRESSION:neutralrelaxedmouth. REPLACE HEADWEAR:close linen coif under low felt cap; natural ear-below bob ends at sides. . TARGETCLOTHING:clearly high-status deep saturated woad-blue fine dense broadcloth cote, prominently visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen. HAIRCOLOR:ash blond with scattered grey strands. PreserveEXACT SAMEPERSON recognizable skull/nose/eye spacing/earshape/chin:broad pentagonal skull; close deep eye sockets around a sharply angular nasal root; short hooked nose with sideways triangular tip; protruding lower lip; tiny tucked chin above thick neck; large attached earlobes. Keepfrontorientation andfatbodytype, samehandpaintednaturalrealism, flatgreybrownbackground upperleftlight squarebustcrop. Anatomicalaging integrated throughfaceandneck, notdrawnwrinklemask. Adultmalehair continuousBLUNT BOB BELOW EARLOBES atjawangle unlessbald/tonsured. Miniver is softgreywhiteSQUIRREL noBLACKERMINEspots. Actuallydrawtargetheadwearnotoriginal ifdifferent. No mirror, text, panels, newactor.","234e8233a6914a09b480d7f4676abaecf785113f584f9c870586a090a8d55bbf"
"I039","old","I039_old","portraits/I039_old.png","m","70","gentry","estate clerk","fat","front","silver-grey and white remnants of original ash blond","light peach with olive undertone","broad pentagonal skull; close deep eye sockets around a sharply angular nasal root; short hooked nose with sideways triangular tip; protruding lower lip; tiny tucked chin above thick neck; large attached earlobes","clearly high-status deep saturated woad-blue fine dense broadcloth cote, prominently visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen","married","neutral","hood","provenance/raw/I039_old.png","9d8ef63acd2b1cb6b3ac8d0092dde0e09df1911a458a32d7c9c3869ade81538b","provenance/references/dfc543036a13-I039_old-r1-ref0.png","IDENTITY-PRESERVE completeportrait edit. ApplytargetchangesFIRST: Now70 clearlyELDERLY: whitegreyhair ifvisible, droopinglids/saggingjowls/loose neckskin/age spots. Read65-75at96px. EXPRESSION:neutralrelaxedmouth. REPLACE HEADWEAR:early period chaperon in simple hood-and-cape form, NOT later turban form; visible natural ear-below bob hair. . TARGETCLOTHING:clearly high-status deep saturated woad-blue fine dense broadcloth cote, prominently visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen. HAIRCOLOR:silver-grey and white remnants of original ash blond. PreserveEXACT SAMEPERSON recognizable skull/nose/eye spacing/earshape/chin:broad pentagonal skull; close deep eye sockets around a sharply angular nasal root; short hooked nose with sideways triangular tip; protruding lower lip; tiny tucked chin above thick neck; large attached earlobes. Keepfrontorientation andfatbodytype, samehandpaintednaturalrealism, flatgreybrownbackground upperleftlight squarebustcrop. Anatomicalaging integrated throughfaceandneck, notdrawnwrinklemask. Adultmalehair continuousBLUNT BOB BELOW EARLOBES atjawangle unlessbald/tonsured. Miniver is softgreywhiteSQUIRREL noBLACKERMINEspots. Actuallydrawtargetheadwearnotoriginal ifdifferent. No mirror, text, panels, newactor.","dc3643b8a175f0a9cdd1bb159c97b99d059401e79df6b520d52c60b173766006"
"I040","young","I040_young","portraits/I040_young.png","f","24","gentry","estate household manager","fat","left","dark auburn","very fair porcelain with pink patches","short wide forehead and long lower face; wide-set narrow green eyes; long straight fine nose; heavy square jaw with two separate chin dimples; broad thin upper lip and small full lower lip; backward-tilted large ears","clearly high-status deep forest-green fine dense broadcloth kirtle and surcoat, prominently visible silver-grey miniver (soft grey-white squirrel fur, no black ermine spots) fur-lined collar and mantle, restrained silver or bronze quatrefoil brooch, decorated belt edge and signet ring barely visible at lower bust; costly tailoring, small sealed document, NOT plain peasant linen","unmarried","slight_smile","barbette_fillet","provenance/raw/I040_young.png","45d3928950158428efea030562163e46f605efd2de246f0a60b73eedaa02db30","provenance/references/d3adf7d5557e-I040_young-before-r2.png","Edit ONLY the FUR MATERIAL in this finished portrait. Preserve exactly same face, age, hair, expression, headwear, anatomy, pose, clothing design/colors, background and framing. Replace every black-spotted white ermine-like fur collar/lining/trim with natural MINIVER SQUIRREL FUR: soft dense fine grey-white fur with gently blended grey areas, plain fur WITHOUT ANY BLACK SPOTS or black tail motifs. Greyandwhite shaded soft fur, not striped or spotted. Keep collarshape and luxurious thickness. THIS IS NOT ERMINE. All OTHER pixels/visualelements should remain visuallyunchanged. Same coherent natural hand-painted historicalportrait, no text, no panels, no flip.","47c6db4446d99c06ebf298528f8f7b0a97d52907319d8d3a5acc3acc48b256da"
