"assetId","version","runtimePath","runtimeSha256","sourcePath","sourceSha256","tool","model","generatedAt","prompt","referenceInputs","seed","candidates","manualEdits","artBible","historicalProfile","owner","usedIn","status","notes"
"pt_face_m_01-v1","v1","B/layers/pt_face_m_01-v1.png","0c7a217d8f5d73d9983711161ecccc1e95769056007cd1ce80cc8646c7f15e98","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-35f0-7cc0-902e-a5310a9e61fe/exec-81f05ce0-ceec-473a-8ac3-988cbde6f99c.png","bc41b2273e9dfd59904e996af8b0c9b1ba3b5fb21be705033ee812c325706116","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:35:17.361Z","RECORDED INPUT 1
Use case: identity-preserve, precise-object-edit. Extract a modular game portrait layer from input P4. Keep EXACT canvas 256x256 coordinate system (output may be integer enlargement); DO NOT enlarge, recenter or crop the subject. Same man, same head angle, nose, eyes, mouth, jaw and neck at EXACT original pixels. Eyeline at y=112 on final 256px canvas. Remove ALL hood, hair, beard stubble, clothing and background to true transparent alpha. Fill previously concealed scalp as bald skin continuous with his head, and expose neck only down to y=211. This is FACE-AND-NECK ONLY modular cutout, no shoulders/body/garment. Preserve handpainted muted warm skin and top-left light from P4. Maintain original face looking viewer left in three-quarter view, exact face position and scale. Canvas transparent outside skin. No text or checkerboard.","pt_pilot_P4-v1.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","CanvasJS full-canvas resize once; exact P4 visible-face pixels composited through revised skin-only polygon preserving eyeline112. QA correction removed original P4 sideburn and linen collar from restore mask, exposing already generated bald skin / bare neck; no new native generation. Other six layers unchanged.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_face_m_01-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Bald skin and bare neck only after mask correction; eyes/nose/mouth retain exact P4 pixels. Generated scalp differs slightly in texture from restored face; hair covers scalp join in requested composites."
"pt_age_m_old-v1","v1","B/layers/pt_age_m_old-v1.png","2cf41372873a032fe3e79562535053937125b624d1f9b0fae744eccce930a8f7","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-35f0-7cc0-902e-a5310a9e61fe/exec-a320148e-afab-48a6-8cba-76e8fb6050eb.png","4453d89b300a3e8824cafac6e90eb548b2ec81605e94dab3f337b5c344208610","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:38:39.823Z","RECORDED INPUT 1
Use case: identity-preserve precise-object-edit. Input1 is bald face layer for P4, input2 original P4. Create a TRANSPARENT OLD AGE OVERLAY only, registered to exact same 256x256 full canvas as input2. Eyes fixed y112, nose tip~(81,132),mouth~(90,148),chin~(106,171). Keep all eyes/nose/mouth cut out transparent; do NOT redraw entire face or paint another man. Paint only connected small skin-tone wrinkle and sagging-cheek patches: forehead creases x91..141 y90..103, crowfeet near106y116, under-eye bags y118..123, nasolabial and sagging cheeks x113..149 y129..160, aged neck creases y180..198. Gently weathered old age around65; muted skin matching P4, handpainted not photographic. Sparse overlay with feathered 1px edges, no silhouette-changing full head. Everything outside age marks fully transparent alpha, no hair beard hat clothing.","pt_face_m_01-v1; pt_pilot_P4-v1.png; exec-81f05ce0-ceec-473a-8ac3-988cbde6f99c.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","Canvas JS native full-canvas resize once to256²; Overlay translated +8px Y; opacity .58 and clear-alpha eyes/nose/mouth exclusion to preserve identity.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_age_m_old-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Overlay translated +8px Y; opacity .58 and clear-alpha eyes/nose/mouth exclusion to preserve identity."
"pt_hair_m_short_01-v1","v1","B/layers/pt_hair_m_short_01-v1.png","f72f77356eb8aa2ec069b89afd537e6725ad70a1a943943df6eb1f255b6ae37b","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-35f0-7cc0-902e-a5310a9e61fe/exec-f9aa0b9a-a845-4f33-b5d9-fa8d8acbac08.png","c390b47b659b9a6b5d91191e10457afadf816633e633f4f0c7084f689a6903b0","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:36:40.174Z","RECORDED INPUT 1
Use case: background-extraction / precise-object-edit. Produce ONLY the FRONT HAIR layer for the attached P4 portrait at exactly its original canvas coordinate registration, 256x256 normalized. Remove face, skin, hood, neck, clothing, background. Retain the brown short curls visible at original forehead and temple, and extend as short natural medieval cropped brown hair over the bald-scalp head area hidden by hood. Front hair region roughly x65..177,y53..116, temple curls x162..181 y108..149. Hairline follows original forehead; do not cover eyes at y112. True transparent alpha everywhere except hair. No floating centered wig: keep canvas location matching P4 exactly. Handpainted muted brown, soft upper-left light. No text, no checkerboard. Front bangs/crown/sideburns only, NOT rear/nape hair.","pt_pilot_P4-v1.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","Canvas JS native full-canvas resize once to256²; Front hair full-canvas registration.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_hair_m_short_01-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Front hair full-canvas registration."
"pt_hair_m_short_01_rear-v1","v1","B/layers/pt_hair_m_short_01_rear-v1.png","c4e69c1c7ddf51c5b91638e61c79c176b7f246618e2c90aaec52116e2a2ee1e1","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-35f0-7cc0-902e-a5310a9e61fe/exec-d2603fe9-3e6c-4a04-87bc-742b71606a24.png","7f22b0bfbf8351bdbdc3775f7d0b2485056e744b2089b5cb05d2baee41502374","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:37:31.127Z","RECORDED INPUT 1
Use case: background-extraction. Create ONLY a BACK/REAR HAIR underlayer for P4 portrait attached. Same256x256 normalized canvas; no recenter. Brown short coarse curls behind the ears and nape only: narrow left tuft x65..79 y96..138 and right rear curls x163..185 y112..168, nape at x151..175 y164..185. These are hair behind a face at x70..175,y80..176; central head/face/neck area transparent because face layer covers it. No crown/front bangs, no face, skin, ears, hood, clothing. True transparent background. Painterly medieval natural brown hair, soft upper-left light. NOT a complete wig or head. Sparse back silhouette tips only so it can be composited BEFORE face. KeepP4 scale.","pt_pilot_P4-v1.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","Canvas JS native full-canvas resize once to256²; Back/nape hair underlayer.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_hair_m_short_01_rear-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Back/nape hair underlayer."
"pt_hair_m_grey_01-v1","v1","B/layers/pt_hair_m_grey_01-v1.png","58bae01a3fc7698c95f357c965c651a984e1d21ddab35f4632a7bd40c0a15809","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-35f0-7cc0-902e-a5310a9e61fe/exec-1766f3fc-9f95-46bd-a819-087ab9a26c1c.png","9709ee739bf2ff144b1b62d6854054cb71387570fa223aa0fb71b3bdc5dfe25f","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:40:14.688Z","RECORDED INPUT 1
Use case: precise-object-edit. Input is FRONT brown hair modular portrait layer. Create its GRAY OLD-MAN FRONT HAIR variant, full identical canvas registration, 256x256 normalized. Keep hair area same crown and temples and eye clearance. Thinner receding hairline with separate broader tufts, dull silver gray peppered charcoal, still healthy coarse hair, no yellow white glow. Preserve original muted handpainted style and upper-left light. Transparent alpha everywhere outside hair, NO face ears neck clothing headwear beard. NOT a new portrait. Hairlayer only. Crown~x65..180,y52..96; templesbelowonly. No text or checkerboard.","pt_hair_m_short_01-v1; exec-f9aa0b9a-a845-4f33-b5d9-fa8d8acbac08.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","Canvas JS native full-canvas resize once to256²; Native silver gray sparse front variant.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_hair_m_grey_01-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Native silver gray sparse front variant."
"pt_hair_m_grey_01_rear-v1","v1","B/layers/pt_hair_m_grey_01_rear-v1.png","b82cd163a0760057c5cb755310ead1c8611e6033cdc1af10ee08502f39cc694b","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-35f0-7cc0-902e-a5310a9e61fe/exec-3600a836-0282-4f22-b790-64e28a1c2a68.png","72ff5a71ac019acce340636c1e2ff8fcf47cfbfa63fa3e5ab9364c6c0e2edd16","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:41:21.451Z","RECORDED INPUT 1
Use case: precise-object-edit. Recolor and slightly thin the attached REAR brown-hair layer to muted silvergray old-man rear hair. Keep EXACT transparent canvas layout: left slim tuft behindear, right nape curls at sameoriginalpixels. Use muted charcoal and warm gray, natural handpainted coarse strands, no white glow. This is isolated REAR HAIR ONLY to go behind sameP4 face, no skin head face ears clothing background. Preserve full256x256registration and transparency, never center/crop/enlarge objects. Same rearhair silhouette broadly, slightly sparser tips. No text/checkerboard.","pt_hair_m_short_01_rear-v1; exec-d2603fe9-3e6c-4a04-87bc-742b71606a24.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","Canvas JS native full-canvas resize once to256²; Native silver gray rear variant.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_hair_m_grey_01_rear-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Native silver gray rear variant."
"pt_beard_m_01-v1","v1","B/layers/pt_beard_m_01-v1.png","aec3ecb19f8a78e87e37633484786240b67b588a5e1bf0e2e73f3064a94e9b1a","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-35f0-7cc0-902e-a5310a9e61fe/exec-050986f3-7c28-430d-9b6f-349654be3213.png","d2c513d44083258a5ca8e96063f1529e73fe4a4a19b8fef104f6341c44bf439f","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:42:43.685Z","RECORDED INPUT 1
Use case: precise-object-edit / background-extraction. Create only a modular BEARD AND MUSTACHE layer for the P4 man. Input1 P4 gives exact256x256canvas headposition; input2 P1 gives desired beard color/material and moderate full rounded shape. Beard MUST fit P4 at exactcanvasposition: mustache just below nose y138..146 x74..112, mouthhole remainsalpha x77..108 y146..153, short brown rounded beard along jaw x76..149 y151..181, right sideburn rises to x153y127. Keep same face threequarter looking left and don't center/enlarge beard. Isolated hair only, no skin lips nose eyes fullhead clothing hat. Brown with modestgray threads, muted medieval handpainted brushtexture, soft upperleft light. ActualtransparentPNG256square registration (outputcanintegerenlarge), no opaquebackground no checkerboard no text.","pt_pilot_P4-v1.png; pt_pilot_P1-v1.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","CanvasJS direct native→256 master affine registration: scaleX .60,scaleY .48,translate(37,70); mouth hole aligned89,148; no paint.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_beard_m_01-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Native generated isolatedbeard oversized despite prompt; affine registered toP4 mouth/jaw. Optional, omit P4originalreconstruction."
"pt_hood-v1","v1","B/layers/pt_hood-v1.png","61ed71ae27cd284ef9e6ae2ce19e749220c131794b5974eeff901d5578b79131","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-6f76-7633-b8fe-caff6c27d242/exec-b8cbf9f4-88a5-448a-a3f8-a775d3f6bf8d.png","c4e441f8e6b02e9708d809623cb8225ddbb6bf6c5ddbf8cfaf35fd7d0c51b4e2","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:35:43.126Z","RECORDED INPUT 1
Use case: background-extraction. Edit target project reference P4. Extract only the reddish brown medieval wool hood as a transparent RGBA portrait layer. Keep exact original full square canvas coordinates, same 256x256 composition scaled uniformly if output higher resolution. Preserve original hood silhouette from x52 y44 to x214 y200, original hood opening and brown draped upper shoulder cowl. Remove ALL face, skin, hair, neck, tunic, background to transparency; interior head opening must be a genuine transparent hole. Hood includes folds around neckline, but stop shoulder cowl at y220 so separate tunic is visible below. Same restrained oil-painted texture, same colour, same upper-left illumination. Eye reference y112 and shoulder reference y208 must not move. Do not center or enlarge isolated garment. No head, face, mannequin, text or checkerboard pixels. True transparent background.","pt_pilot_P4-v1.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","Full-canvas 256x256 registration and project-source layer extraction / alpha masks; see portrait face/clothes registration records. Exact source-preserved regions and native painted regions are distinguished there.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_hood-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Native layer extraction; final may preserve exact project source pixels via registered cutout. See clothes-registration.json."
"pt_hat_brim-v1","v1","B/layers/pt_hat_brim-v1.png","2ef24b95d8041cc67bd0e9e132d1d37930b1e231194dfb660c926421ac942e91","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-6f76-7633-b8fe-caff6c27d242/exec-9dac1580-ca46-43d9-9ded-4d1721305817.png","0327112d53a38c7314682967e2762ee8cf8be255c1e9b8badb93d61f3943ce46","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:36:39.625Z","RECORDED INPUT 1
Use case: background-extraction. Edit target P1 project portrait. Extract ONLY the brown broad brimmed medieval felt hat into a genuine transparent RGBA portrait layer. Exact original full square composition coordinates retained, 256x256 logical canvas: hat crown x78..177 y42..86, brim x24..232 y72..141. Do not move, center, enlarge or rotate hat. Keep original hat colour, brushwork, crease, band and soft upper-left light. Erase face, all hair, ears, beard, neck, clothing, background completely; transparent below brim. This layer will be composited onto original P4 face with fixed eye line112 shoulders208. No text, grid, checkerboard pixels, mannequin or head.","pt_pilot_P1-v1.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","Full-canvas 256x256 registration and project-source layer extraction / alpha masks; see portrait face/clothes registration records. Exact source-preserved regions and native painted regions are distinguished there.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_hat_brim-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Native layer extraction; final may preserve exact project source pixels via registered cutout. See clothes-registration.json."
"pt_garment_work_tunic-v1","v1","B/layers/pt_garment_work_tunic-v1.png","12dd9a29fcea65b6b89e72881c362d5ff9c3ed1059815d03aed8d75f825a11ae","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d821-6f76-7633-b8fe-caff6c27d242/exec-a5f6dc3e-b5d5-4d88-b284-8582f8ec3042.png","9c14deb8c521c28d4bcff78eb33eaf7196104bcd383b9d379068ac210af87db5","native image_gen; Canvas2D registered extraction/composition","not exposed","2026-09-25T10:37:30.987Z","RECORDED INPUT 1
Use case: precise-object-edit. Reference P4 is exact edit target for a medieval portrait layer. Output ONLY the work tunic torso, full square canvas registration identical to P4 at logical 256x256. Reconstruct the rusty muted red wool tunic UNDER the removed hood/cowl, simple shoulder slopes matching reference silhouette from x0 y208 to x72 y176, from x191 y179 to x255 y208, torso cropped flush bottom y256. Neck opening surrounds x110..158 y190..215, with small cream linen neckline matching P4. No skin, head, hair, hood, cape, background: all erased to true alpha transparency. Preserve broad warm cloth folds, original P4 wear and muted colour, soft upper-left light. Do not center garment or enlarge to fill frame: top 170 logical pixels remain transparent. Keep shoulder y208. Hand-painted Southern England 1300-1450, no modern tailoring, no text.","pt_pilot_P4-v1.png","not exposed","1 native attempts. Selected source above; all attempts retained in generation-history.json.","Full-canvas 256x256 registration and project-source layer extraction / alpha masks; see portrait face/clothes registration records. Exact source-preserved regions and native painted regions are distinguished there.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5b","candidate only; no game installation","candidate","{""id"":""pt_garment_work_tunic-v1"",""size"":[256,256],""role"":""portrait-layer"",""eyeLineY"":112,""shoulderY"":208,""status"":""candidate""}
Native layer extraction; final may preserve exact project source pixels via registered cutout. See clothes-registration.json."
