"asset_id","status","file","width","height","group","description","history_notes","sha256","generation_records","processing","qa"
"dock_build","candidate","assets/main/dock_build.png","96","96","main","Construction: a wooden carpenter's measuring ruler with simple tick marks (NO digits), diagonally crossed with ONE wood-handled steel chisel. No hammer. Just these two objects, distinct broad silhouette.","Candidate. Project-owned UI P0 style references. No game installation.","9e26630219c4373959beeff825fdf651034fd0792ef0c6db6ec41f0e6b0bdf56","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: stylized-concept. Create ONE isolated medieval game HUD icon, intended to become 96x96px PNG and read clearly at 24, 32 and 48px. Reference images are project-owned STYLE references only: match their low-chroma hand-painted ochre/taupe/brown palette, thin dark brown ink outline, matte shaded volume and restrained brush texture. Subject: Construction: a wooden carpenter's measuring ruler with simple tick marks (NO digits), diagonally crossed with ONE wood-handled steel chisel. No hammer. Just these two objects, distinct broad silhouette. Composition: centered object filling about 80% of a square canvas, compact readable silhouette, no tiny details. Background: genuinely transparent RGBA alpha outside artwork, no background color, no checkerboard drawing, no floor, no cast shadow outside object. No text, letters, numbers, borders, buttons or labels. Only this ONE icon, never a sheet."",""rawFile"":""raw/main/dock_build.png"",""referenceImages"":[""references/icon_resource_sheet.png"",""references/icon_layer_mode_sheet.png"",""references/icon_objective_action_sheet.png""],""model"":""not supplied by tool"",""seed"":""not supplied by tool"",""rawWidth"":1254,""rawHeight"":1254,""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Preserved generated alpha; alpha > 8 bounding box crop; aspect-preserving Lanczos3 fit within 84 px and transparent padding to 96x96.""","{""status"":""pass internal candidate review after dimension correction"",""actualWidth"":96,""actualHeight"":96,""channels"":4,""transparentPixels"":5206,""opaquePixels"":240,""reviewedSizes"":[24,32,48],""proof"":""raw/main/contact-main.png"",""notes"":""Visually reinspected corrected 96px outputs at24/32/48. Silhouettes unchanged after correcting canvas. Previous108px export replaced; no raw altered.""}"
"dock_ledger","candidate","assets/main/dock_ledger.png","96","96","main","Ledger: a wide open account book with entirely blank pale parchment pages and a prominent dark feather quill crossing its right page. NO writing, NO candle, NO scroll, NO wax seal.","Candidate. Project-owned UI P0 style references. No game installation.","c144c4c7ed1f941187a110be65736daf485b5d4b8a803d6b05da5bdd8b848836","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: stylized-concept. Create ONE isolated medieval game HUD icon, intended to become 96x96px PNG and read clearly at 24, 32 and 48px. Reference images are project-owned STYLE references only: match their low-chroma hand-painted ochre/taupe/brown palette, thin dark brown ink outline, matte shaded volume and restrained brush texture. Subject: Ledger: a wide open account book with entirely blank pale parchment pages and a prominent dark feather quill crossing its right page. NO writing, NO candle, NO scroll, NO wax seal. Composition: centered object filling about 80% of a square canvas, compact readable silhouette, no tiny details. Background: genuinely transparent RGBA alpha outside artwork, no background color, no checkerboard drawing, no floor, no cast shadow outside object. No text, letters, numbers, borders, buttons or labels. Only this ONE icon, never a sheet."",""rawFile"":""raw/main/dock_ledger.png"",""referenceImages"":[""references/icon_resource_sheet.png"",""references/icon_layer_mode_sheet.png"",""references/icon_objective_action_sheet.png""],""model"":""not supplied by tool"",""seed"":""not supplied by tool"",""rawWidth"":1254,""rawHeight"":1254,""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Preserved generated alpha; alpha > 8 bounding box crop; aspect-preserving Lanczos3 fit within 84 px and transparent padding to 96x96.""","{""status"":""pass internal candidate review after dimension correction"",""actualWidth"":96,""actualHeight"":96,""channels"":4,""transparentPixels"":4782,""opaquePixels"":211,""reviewedSizes"":[24,32,48],""proof"":""raw/main/contact-main.png"",""notes"":""Visually reinspected corrected 96px outputs at24/32/48. Silhouettes unchanged after correcting canvas. Previous108px export replaced; no raw altered.""}"
"dock_steward","candidate","assets/main/dock_steward.png","96","96","main","Steward: THREE chunky medieval iron keys hanging from ONE round bronze key ring. Distinct key teeth and loops, simple broad readable silhouette. No people.","Candidate. Project-owned UI P0 style references. No game installation.","d10f54f515b64d1d7b6a0d8436ff1bdaac552d46045ec49363115bbd19e33883","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: stylized-concept. Create ONE isolated medieval game HUD icon, intended to become 96x96px PNG and read clearly at 24, 32 and 48px. Reference images are project-owned STYLE references only: match their low-chroma hand-painted ochre/taupe/brown palette, thin dark brown ink outline, matte shaded volume and restrained brush texture. Subject: Steward: THREE chunky medieval iron keys hanging from ONE round bronze key ring. Distinct key teeth and loops, simple broad readable silhouette. No people. Composition: centered object filling about 80% of a square canvas, compact readable silhouette, no tiny details. Background: genuinely transparent RGBA alpha outside artwork, no background color, no checkerboard drawing, no floor, no cast shadow outside object. No text, letters, numbers, borders, buttons or labels. Only this ONE icon, never a sheet."",""rawFile"":""raw/main/dock_steward.png"",""referenceImages"":[""references/icon_resource_sheet.png"",""references/icon_layer_mode_sheet.png"",""references/icon_objective_action_sheet.png""],""model"":""not supplied by tool"",""seed"":""not supplied by tool"",""rawWidth"":1254,""rawHeight"":1254,""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Preserved generated alpha; alpha > 8 bounding box crop; aspect-preserving Lanczos3 fit within 84 px and transparent padding to 96x96.""","{""status"":""pass internal candidate review after dimension correction"",""actualWidth"":96,""actualHeight"":96,""channels"":4,""transparentPixels"":5682,""opaquePixels"":392,""reviewedSizes"":[24,32,48],""proof"":""raw/main/contact-main.png"",""notes"":""Visually reinspected corrected 96px outputs at24/32/48. Silhouettes unchanged after correcting canvas. Previous108px export replaced; no raw altered.""}"
"pill_food_days","candidate","assets/main/pill_food_days.png","96","96","main","Food supply duration: ONE small round loaf of brown bread on left and ONE upright compact wooden hourglass on right, side-by-side overlapping slightly. Clear hourglass pinch and pale sand. No numerals, no dial.","Candidate. Project-owned UI P0 style references. No game installation.","1d242e4a04928ca18607ae4c164716768cf0e6c05a53fb7fd15be51eebdef7ab","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: stylized-concept. Create ONE isolated medieval game HUD icon, intended to become 96x96px PNG and read clearly at 24, 32 and 48px. Reference images are project-owned STYLE references only: match their low-chroma hand-painted ochre/taupe/brown palette, thin dark brown ink outline, matte shaded volume and restrained brush texture. Subject: Food supply duration: ONE small round loaf of brown bread on left and ONE upright compact wooden hourglass on right, side-by-side overlapping slightly. Clear hourglass pinch and pale sand. No numerals, no dial. Composition: centered object filling about 80% of a square canvas, compact readable silhouette, no tiny details. Background: genuinely transparent RGBA alpha outside artwork, no background color, no checkerboard drawing, no floor, no cast shadow outside object. No text, letters, numbers, borders, buttons or labels. Only this ONE icon, never a sheet."",""rawFile"":""raw/main/pill_food_days.png"",""referenceImages"":[""references/icon_resource_sheet.png"",""references/icon_layer_mode_sheet.png"",""references/icon_objective_action_sheet.png""],""model"":""not supplied by tool"",""seed"":""not supplied by tool"",""rawWidth"":1254,""rawHeight"":1254,""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Preserved generated alpha; alpha > 8 bounding box crop; aspect-preserving Lanczos3 fit within 84 px and transparent padding to 96x96.""","{""status"":""pass internal candidate review after dimension correction"",""actualWidth"":96,""actualHeight"":96,""channels"":4,""transparentPixels"":4582,""opaquePixels"":238,""reviewedSizes"":[24,32,48],""proof"":""raw/main/contact-main.png"",""notes"":""Visually reinspected corrected 96px outputs at24/32/48. Silhouettes unchanged after correcting canvas. Previous108px export replaced; no raw altered.""}"
"pill_population","candidate","assets/main/pill_population.png","96","96","main","Population: exactly TWO extremely simplified bareheaded civilian head-and-shoulder silhouettes side by side, one slightly taller. Solid warm ivory faces without facial features, muted brown and tan shoulders. Very simple broad bust shapes, NO hats, NO tools, NO uniform, NO worker clothing, NO third person, NO medallion or frame.","Candidate. Project-owned UI P0 style references. No game installation.","1ba597a5c5f1e0bbe2e234430c48d4b885cbbe1c9791c2482fd31f943622b910","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: stylized-concept. Create ONE isolated medieval game HUD icon, intended to become 96x96px PNG and read clearly at 24, 32 and 48px. Reference images are project-owned STYLE references only: match their low-chroma hand-painted ochre/taupe/brown palette, thin dark brown ink outline, matte shaded volume and restrained brush texture. Subject: Population: exactly TWO extremely simplified bareheaded civilian head-and-shoulder silhouettes side by side, one slightly taller. Solid warm ivory faces without facial features, muted brown and tan shoulders. Very simple broad bust shapes, NO hats, NO tools, NO uniform, NO worker clothing, NO third person, NO medallion or frame. Composition: centered object filling about 80% of a square canvas, compact readable silhouette, no tiny details. Background: genuinely transparent RGBA alpha outside artwork, no background color, no checkerboard drawing, no floor, no cast shadow outside object. No text, letters, numbers, borders, buttons or labels. Only this ONE icon, never a sheet."",""rawFile"":""raw/main/pill_population.png"",""referenceImages"":[""references/icon_resource_sheet.png"",""references/icon_layer_mode_sheet.png"",""references/icon_objective_action_sheet.png""],""model"":""not supplied by tool"",""seed"":""not supplied by tool"",""rawWidth"":1254,""rawHeight"":1254,""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Preserved generated alpha; alpha > 8 bounding box crop; aspect-preserving Lanczos3 fit within 84 px and transparent padding to 96x96.""","{""status"":""pass internal candidate review after dimension correction"",""actualWidth"":96,""actualHeight"":96,""channels"":4,""transparentPixels"":5034,""opaquePixels"":243,""reviewedSizes"":[24,32,48],""proof"":""raw/main/contact-main.png"",""notes"":""Visually reinspected corrected 96px outputs at24/32/48. Silhouettes unchanged after correcting canvas. Previous108px export replaced; no raw altered.""}"
"pill_money","candidate","assets/main/pill_money.png","96","96","main","Treasury: ONE plump tied medieval brown leather coin purse, short drawstring neck. No visible coins, no coin pile, no symbol, no writing.","Candidate. Project-owned UI P0 style references. No game installation.","e4e064fe40919e2affb0943067235db149a236be50c7e52d6af3016f953da144","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: stylized-concept. Create ONE isolated medieval game HUD icon, intended to become 96x96px PNG and read clearly at 24, 32 and 48px. Reference images are project-owned STYLE references only: match their low-chroma hand-painted ochre/taupe/brown palette, thin dark brown ink outline, matte shaded volume and restrained brush texture. Subject: Treasury: ONE plump tied medieval brown leather coin purse, short drawstring neck. No visible coins, no coin pile, no symbol, no writing. Composition: centered object filling about 80% of a square canvas, compact readable silhouette, no tiny details. Background: genuinely transparent RGBA alpha outside artwork, no background color, no checkerboard drawing, no floor, no cast shadow outside object. No text, letters, numbers, borders, buttons or labels. Only this ONE icon, never a sheet."",""rawFile"":""raw/main/pill_money.png"",""referenceImages"":[""references/icon_resource_sheet.png"",""references/icon_layer_mode_sheet.png"",""references/icon_objective_action_sheet.png""],""model"":""not supplied by tool"",""seed"":""not supplied by tool"",""rawWidth"":1254,""rawHeight"":1254,""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Preserved generated alpha; alpha > 8 bounding box crop; aspect-preserving Lanczos3 fit within 84 px and transparent padding to 96x96.""","{""status"":""pass internal candidate review after dimension correction"",""actualWidth"":96,""actualHeight"":96,""channels"":4,""transparentPixels"":4203,""opaquePixels"":186,""reviewedSizes"":[24,32,48],""proof"":""raw/main/contact-main.png"",""notes"":""Visually reinspected corrected 96px outputs at24/32/48. Silhouettes unchanged after correcting canvas. Previous108px export replaced; no raw altered.""}"
"reason_tree","candidate","assets/reasons/reason_tree.png","96","96","reasons","A single stout leafy tree with a visible trunk and three broad muted olive foliage lobes. Clear tree silhouette indicating a tree must be cleared; no axe.","Southern England medieval material vocabulary; project P0 style reference only.","729b679271fbc4eaa40082e77a1c8c2868f71b1073707635f764d10399cdb392","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: historical-scene. Make ONE transparent game UI icon, reason_tree. Subject: A single stout leafy tree with a visible trunk and three broad muted olive foliage lobes. Clear tree silhouette indicating a tree must be cleared; no axe. Style: match attached project UI P0 reference: hand-painted medieval miniature, muted earthy color, thin dark brown outline, restrained painted shading. Simple and bold enough to read at 24 pixels; no microdetail. Subject centered with a compact silhouette occupying about 78% of square canvas. True transparent background RGBA, no solid background, no checkerboard drawing, no contact shadow outside object. Output one square icon only, no text, letters, digits, frame or UI. No hammer, scroll, sealed document, pair of workers. Reference is style only; do not copy its subjects. Final deliverable will be 96x96px."",""rawFile"":""raw/reasons/reason_tree.png"",""referenceImages"":[""references/icon_cause_family_sheet.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Alpha-bounds crop, aspect-preserving Lanczos3 resize into centered 80x80 within transparent 96x96; original preserved.""","{""sourceWidth"":1254,""sourceHeight"":1254,""sourceTransparentPixels"":1078467,""alphaBounds"":[173,157,1087,1106],""alphaPreserved"":true,""visualReview"":""pass: inspected 24/32/48/96px contact sheet; distinct silhouettes and reserved motif avoidance"",""smallSizeNotes"":""Silhouette remains identifiable at 24px.""}"
"reason_no_road","candidate","assets/reasons/reason_no_road.png","96","96","reasons","Two short tan earthen road segments facing one another, separated by a very obvious wide broken gap. Each road has simple edging; NO arrows, NO wooden plank or bridge across the gap.","Southern England medieval material vocabulary; project P0 style reference only.","bc9fc7f37855a85e15d022398305a2059465466d0f5d15fb3cefd50d71ab356f","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: historical-scene. Make ONE transparent game UI icon, reason_no_road. Subject: Two short tan earthen road segments facing one another, separated by a very obvious wide broken gap. Each road has simple edging; NO arrows, NO wooden plank or bridge across the gap. Style: match attached project UI P0 reference: hand-painted medieval miniature, muted earthy color, thin dark brown outline, restrained painted shading. Simple and bold enough to read at 24 pixels; no microdetail. Subject centered with a compact silhouette occupying about 78% of square canvas. True transparent background RGBA, no solid background, no checkerboard drawing, no contact shadow outside object. Output one square icon only, no text, letters, digits, frame or UI. No hammer, scroll, sealed document, pair of workers. Reference is style only; do not copy its subjects. Final deliverable will be 96x96px."",""rawFile"":""raw/reasons/reason_no_road.png"",""referenceImages"":[""references/icon_cause_family_sheet.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Alpha-bounds crop, aspect-preserving Lanczos3 resize into centered 80x80 within transparent 96x96; original preserved.""","{""sourceWidth"":1254,""sourceHeight"":1254,""sourceTransparentPixels"":1223027,""alphaBounds"":[79,389,1175,857],""alphaPreserved"":true,""visualReview"":""pass: inspected 24/32/48/96px contact sheet; distinct silhouettes and reserved motif avoidance"",""smallSizeNotes"":""Silhouette remains identifiable at 24px.""}"
"reason_overlap","candidate","assets/reasons/reason_overlap.png","96","96","reasons","Two distinct offset house blocks colliding at inner corners with burgundy cross marker and hatch.","Southern England medieval material vocabulary; project P0 style reference only.","e475ed010253c05a103d81637bc2dffc56b569d1e6ab5d426eefe64d24d03431","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: historical-scene. Make ONE transparent game UI icon, reason_overlap. Subject: Two simple compact medieval roof-and-wall building blocks intruding into each other, one in front and one behind, offset diagonally. Clearly overlapping rooftops; no red badge needed. Style: match attached project UI P0 reference: hand-painted medieval miniature, muted earthy color, thin dark brown outline, restrained painted shading. Simple and bold enough to read at 24 pixels; no microdetail. Subject centered with a compact silhouette occupying about 78% of square canvas. True transparent background RGBA, no solid background, no checkerboard drawing, no contact shadow outside object. Output one square icon only, no text, letters, digits, frame or UI. No hammer, scroll, sealed document, pair of workers. Reference is style only; do not copy its subjects. Final deliverable will be 96x96px."",""rawFile"":""raw/reasons/reason_overlap.png"",""referenceImages"":[""references/icon_cause_family_sheet.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1254,""height"":1254}},{""tool"":""image_gen.imagegen"",""prompt"":""Edit this icon into a much clearer building-overlap conflict icon for a medieval game at 24px. Keep muted painted style thin brown outlines genuine transparent background. Replace the attached-looking single complex house with TWO CLEARLY SEPARATE SMALL HOUSE BLOCKS: offset left and right so both peaked front gables and both full rooftops are clearly recognizable, one pale ochre roof and one muted reddish roof, with a visible negative-space notch between the two upper silhouettes. The lower inner corners of the two building volumes visibly intrude into each other. At this central collision put an unmistakable dark burgundy X marker with a few diagonal hatch strokes just behind it. X approximately 25% total icon width so readable when icon is 24px. Avoid roof decoration and microdetail. This is a BUILDING COLLISION error pictogram, must not resemble a single house with extension or two buildings standing peacefully next to each other. No lettering numbers other symbols frame background or shadow. Square canvas with margins.\n"",""rawFile"":""raw/reasons/reason_overlap-v2.png"",""referenceImages"":[""raw/reasons/reason_overlap.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Alpha-bounds crop, aspect-preserving Lanczos3 resize into centered 80x80 within transparent 96x96; original preserved.""","{""sourceWidth"":1254,""sourceHeight"":1254,""sourceTransparentPixels"":1012183,""alphaBounds"":[98,269,1171,1063],""alphaPreserved"":true,""visualReview"":""pass: inspected 24/32/48/96px contact sheet; distinct silhouettes and reserved motif avoidance"",""smallSizeNotes"":""v2: two peaked roof silhouettes and central collision cross replace attached-house ambiguity; checked at 24/32/48px.""}"
"reason_water","candidate","assets/reasons/reason_water.png","96","96","reasons","Three broad horizontal gently curved water ripples forming a small shallow pool in muted slate blue. No droplet shape.","Southern England medieval material vocabulary; project P0 style reference only.","3e7d9c28501d9a75316fa98ec6fea26b0cafbe21842deb52667e0f44cb25df78","[{""tool"":""image_gen.imagegen"",""prompt"":""Use case: historical-scene. Make ONE transparent game UI icon, reason_water. Subject: Three broad horizontal gently curved water ripples forming a small shallow pool in muted slate blue. No droplet shape. Style: match attached project UI P0 reference: hand-painted medieval miniature, muted earthy color, thin dark brown outline, restrained painted shading. Simple and bold enough to read at 24 pixels; no microdetail. Subject centered with a compact silhouette occupying about 78% of square canvas. True transparent background RGBA, no solid background, no checkerboard drawing, no contact shadow outside object. Output one square icon only, no text, letters, digits, frame or UI. No hammer, scroll, sealed document, pair of workers. Reference is style only; do not copy its subjects. Final deliverable will be 96x96px."",""rawFile"":""raw/reasons/reason_water.png"",""referenceImages"":[""references/icon_cause_family_sheet.png""],""model"":""not supplied"",""seed"":""not supplied"",""sourceImageDimensions"":{""width"":1254,""height"":1254}}]","""Alpha-bounds crop, aspect-preserving Lanczos3 resize into centered 80x80 within transparent 96x96; original preserved.""","{""sourceWidth"":1254,""sourceHeight"":1254,""sourceTransparentPixels"":1278506,""alphaBounds"":[157,453,1097,883],""alphaPreserved"":true,""visualReview"":""pass: inspected 24/32/48/96px contact sheet; distinct silhouettes and reserved motif avoidance"",""smallSizeNotes"":""Silhouette remains identifiable at 24px.""}"
