"assetId","version","runtimePath","runtimeSha256","sourcePath","sourceSha256","tool","model","generatedAt","prompt","referenceInputs","seed","candidates","manualEdits","artBible","historicalProfile","owner","usedIn","status","notes"
"construction/pile_stone_1-v1","v1","construction/pile_stone_1-v1.png","6eccadacc0a526ea5797aad0a235b8c431c7d96b78db6469f67e2a82e398a295","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-0d35-75a1-b2cb-589f3a3d948d/exec-6de2d615-0ef8-4b17-9a5d-100ae3fc94c1.png","57a9a9f271905feeda197b80bfc8323a614cb15be96fcef6742ad6b6916d8707","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:48:47.700Z","ATTEMPT 1; selected=true
ROLE decal/object. Southern England 1300–1450 hand-painted isometric city-builder game. Attached image is project material, muted palette and brushwork reference only. True transparent RGBA background, no ground platform, soft upper-left daylight and very short contact AO. Orthographic 2:1 isometric view. Single isolated construction material pile. Broad simple block silhouettes, absolutely no tiny grain, no text, no watermark. Final sprite 96x64 pixels, displayed at 28.8x19.2px; design for this tiny display using clear large masses. Keep fully inside canvas. Ground baseline shared near bottom centre. Only THREE large rough limestone blocks on ground in a LOW SINGLE layer, small delivery quantity 0-30 percent, not a pyramid. Match project muted warmgrey grey-beige stone. Crisp silhouette, alpha zero outside object, no glow or dustwash. Actual individual new painting, not recolour.","construction_foundation-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native alpha below128 cleared and remaining silhouette opacity normalized255 before single high-quality Canvas reduction; uniform aspect preserved and centered; ground baseline y56. No hue recolour.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate","One native candidate; selected for distinct delivery mass and projectmaterial palette. Stage1 low single layer; stage2 medium; stage3 high mound/stack. Contactpivot y56."
"construction/pile_stone_2-v1","v1","construction/pile_stone_2-v1.png","9acb35c320345bf2fba46230de5fc68d9264eabdb38901166cdd38bc81767b29","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-0d35-75a1-b2cb-589f3a3d948d/exec-ea9f1ad6-2b78-43f1-8c23-fedc51aaa4a3.png","b7a222791782da7e942d0c9bcd94001062fc9e440e2b5d721b460cb3b4cb3d32","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:45:39.424Z","ATTEMPT 1; selected=true
ROLE decal/object. Southern England 1300–1450 hand-painted isometric city-builder game. Attached image is project material, muted palette and brushwork reference only. True transparent RGBA background, no ground platform, soft upper-left daylight and very short contact AO. Orthographic 2:1 isometric view. Single isolated construction material pile. Broad simple block silhouettes, absolutely no tiny grain, no text, no watermark. Final sprite 96x64 pixels, displayed at 28.8x19.2px; design for this tiny display using clear large masses. Keep fully inside canvas. Ground baseline shared near bottom centre. STONE quantity stage 2 of 3: medium heap of seven large roughly squared limestone building blocks, muted warm-grey grey-beige stone matching attached foundation. Three broad visible faces perblock, irregular but blocky silhouette, heap about68x33px at finalsprite. CRITICAL alpha outside actual solid stone must be ZERO. No dust, no glow, no blur, no surrounding colour wash. Plain transparent outside crisp edges.","construction_foundation-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native alpha below128 cleared and remaining silhouette opacity normalized255 before single high-quality Canvas reduction; uniform aspect preserved and centered; ground baseline y56. No hue recolour.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate","One native candidate; selected for distinct delivery mass and projectmaterial palette. Stage1 low single layer; stage2 medium; stage3 high mound/stack. Contactpivot y56."
"construction/pile_stone_3-v1","v1","construction/pile_stone_3-v1.png","19402246f37d5f018a81c6cca23097cf7b7ef81a677dae8d0cd6690a0738cd37","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-0d35-75a1-b2cb-589f3a3d948d/exec-2d5dc914-6a61-451a-b8dd-4e60223cdaf6.png","c4a37f7f9afc40f5cadc619b525d6571a80583d142b90dd8f2c76564543ac2a7","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:49:35.504Z","ATTEMPT 1; selected=true
ROLE decal/object. Southern England 1300–1450 hand-painted isometric city-builder game. Attached image is project material, muted palette and brushwork reference only. True transparent RGBA background, no ground platform, soft upper-left daylight and very short contact AO. Orthographic 2:1 isometric view. Single isolated construction material pile. Broad simple block silhouettes, absolutely no tiny grain, no text, no watermark. Final sprite 96x64 pixels, displayed at 28.8x19.2px; design for this tiny display using clear large masses. Keep fully inside canvas. Ground baseline shared near bottom centre. A LARGE fullheap of FIFTEEN roughly squared limestone blocks in a dense three-layer mound. 70-100 percent delivery. Tall broad mass, noticeably larger than sevenblockmediumstage. Match project muted warmgrey grey-beige stone. Crisp silhouette, alpha zero outside object, no glow or dustwash. Actual individual new painting, not recolour.","construction_foundation-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native alpha below128 cleared and remaining silhouette opacity normalized255 before single high-quality Canvas reduction; uniform aspect preserved and centered; ground baseline y56. No hue recolour.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate","One native candidate; selected for distinct delivery mass and projectmaterial palette. Stage1 low single layer; stage2 medium; stage3 high mound/stack. Contactpivot y56."
"construction/pile_wood_1-v1","v1","construction/pile_wood_1-v1.png","49bed4b5afece8675f1aba0c38db21380d2e094223687c93224ca4577c957973","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-0d35-75a1-b2cb-589f3a3d948d/exec-8812d44a-7256-449b-9ac4-1116ed3922dd.png","a4f0f77dec2994ea0350084258b4c5919c20fdfb23f4098989be3b57e42f1b0c","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:47:38.312Z","ATTEMPT 1; selected=true
ROLE decal/object. Southern England 1300–1450 hand-painted isometric city-builder game. Attached image is project material, muted palette and brushwork reference only. True transparent RGBA background, no ground platform, soft upper-left daylight and very short contact AO. Orthographic 2:1 isometric view. Single isolated construction material pile. Broad simple block silhouettes, absolutely no tiny grain, no text, no watermark. Final sprite 96x64 pixels, displayed at 28.8x19.2px; design for this tiny display using clear large masses. Keep fully inside canvas. Ground baseline shared near bottom centre. Only TWO thick squared oak beams resting side by side in ONE LOW layer. Small delivery quantity 0-30 percent, not a fullstack. Exactly two large beams and nothing else. Match project muted weathered warm brown oak. Crisp silhouette, alpha zero outside object, no glow or dustwash. Actual individual new painting, not recolour.","construction_timber_frame-v2.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native alpha below128 cleared and remaining silhouette opacity normalized255 before single high-quality Canvas reduction; uniform aspect preserved and centered; ground baseline y56. No hue recolour.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate","One native candidate; selected for distinct delivery mass and projectmaterial palette. Stage1 low single layer; stage2 medium; stage3 high mound/stack. Contactpivot y56."
"construction/pile_wood_2-v1","v1","construction/pile_wood_2-v1.png","b1837da835d86b26185495dcfa4134a718695e1621444279afa34c00c3dac740","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-0d35-75a1-b2cb-589f3a3d948d/exec-b825d0fa-2f81-448b-9e24-743f188a4024.png","e670c528f6c937f92df749d30b9b2ab9b2902055ca260138be5d37defae524c8","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:45:39.424Z","ATTEMPT 1; selected=true
ROLE decal/object. Southern England 1300–1450 hand-painted isometric city-builder game. Attached image is project material, muted palette and brushwork reference only. True transparent RGBA background, no ground platform, soft upper-left daylight and very short contact AO. Orthographic 2:1 isometric view. Single isolated construction material pile. Broad simple block silhouettes, absolutely no tiny grain, no text, no watermark. Final sprite 96x64 pixels, displayed at 28.8x19.2px; design for this tiny display using clear large masses. Keep fully inside canvas. Ground baseline shared near bottom centre. WOOD quantity stage 2 of 3: medium stack of six thick squared construction beams, warm weathered oak, plainly rectangular cut ends, three beams wide and two layers high. Long beams follow isometric down-right axis; simple broad wood colour facets not grain. The pile should occupy approximately 68x33px in eventual 96x64 sprite.","construction_timber_frame-v2.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native alpha below128 cleared and remaining silhouette opacity normalized255 before single high-quality Canvas reduction; uniform aspect preserved and centered; ground baseline y56. No hue recolour.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate","One native candidate; selected for distinct delivery mass and projectmaterial palette. Stage1 low single layer; stage2 medium; stage3 high mound/stack. Contactpivot y56."
"construction/pile_wood_3-v1","v1","construction/pile_wood_3-v1.png","086d178a6d2b0b42ef11e55b5ea943527c2beacdcfd36c5af12d4b32d63ba3a4","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-0d35-75a1-b2cb-589f3a3d948d/exec-9efa8c6d-b215-44f7-ae04-b5f37f9d555a.png","3f06bda63046d62b1e4eee8162a9e8bcad8ee1d089ef0263696a225bc80a3abb","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:48:18.822Z","ATTEMPT 1; selected=true
ROLE decal/object. Southern England 1300–1450 hand-painted isometric city-builder game. Attached image is project material, muted palette and brushwork reference only. True transparent RGBA background, no ground platform, soft upper-left daylight and very short contact AO. Orthographic 2:1 isometric view. Single isolated construction material pile. Broad simple block silhouettes, absolutely no tiny grain, no text, no watermark. Final sprite 96x64 pixels, displayed at 28.8x19.2px; design for this tiny display using clear large masses. Keep fully inside canvas. Ground baseline shared near bottom centre. A LARGE fullstack of TWELVE thick squared oak beams arranged four wide, three layers high. 70-100 percent delivery, taller and wider than sixbeam mediumstage. Match project muted weathered warm brown oak. Crisp silhouette, alpha zero outside object, no glow or dustwash. Actual individual new painting, not recolour.","construction_timber_frame-v2.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native alpha below128 cleared and remaining silhouette opacity normalized255 before single high-quality Canvas reduction; uniform aspect preserved and centered; ground baseline y56. No hue recolour.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate","One native candidate; selected for distinct delivery mass and projectmaterial palette. Stage1 low single layer; stage2 medium; stage3 high mound/stack. Contactpivot y56."
"construction/roof_frame_thatch-v1","v1","construction/roof_frame_thatch-v1.png","2c056010140ca03d325ac8f59c77158b6902a960108c2417430e445fb340f6d0","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-5052-7362-af04-c5838897ea7a/exec-99a4a12c-a1fd-4f23-a4ab-821a592c7b32.png","a7030c7a20565e932e4522d8314ebc646aece23a541f9d9c62d31829d0c9f1f1","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:47:20.735Z","ATTEMPT 1; selected=true
Use case: precise-object-edit. Edit target: attached construction_roof_frame-v1.png only. Create the thatch variant of this same medieval English roof construction stage, 1300–1450. Keep the exact 2:1 isometric view, rectangular roof footprint, silhouette extent, principal timber trusses, ridge axis, camera and placement. Existing rafters currently read as a tile roof framework. Change it to an unfinished thatching framework: add widely spaced broad hazel battens lashed across rafters and cover only the bottom quarter of each roof slope with two or three chunky laid courses of dull golden straw bundles; the ridge and upper framework must remain open and visibly under construction. This is not a completed roof or a whole building. Straw must read in broad simple clumps, no individual noisy hairs. Match reference brown wood, olive-gold straw and soft upper-left painterly lighting. Transparent RGBA background, no baked checkerboard, no ground patch, no people, no labels. Output composition exactly 512×256, artwork in the same location as the reference with transparent breathing room; no perspective change.","construction_roof_frame-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native repaint bbox registered to approved roof reference alpha bbox(51,14)-(460,237), one Canvas downscale to512×256; transparent edge cleanup and hiddenRGB bleed2px. Same canvas/pivot coordinate contract; no runtime install.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate",""
"construction/sign_post-v1","v1","construction/sign_post-v1.png","17a96d09797190d9e72b0fb03cb1670396d352b72facc760c08faf8de769ec50","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-0d35-75a1-b2cb-589f3a3d948d/exec-5e3ce078-9eb2-4250-a3dd-f918fce85ddf.png","900a7d9942cca834b292b212db280f7f82915a8d108cb36a36d767d8fa20e773","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:50:22.018Z","ATTEMPT 1; selected=true
ROLE object/decal. Create single construction signpost for southern England 1300-1450 citybuilder. Attached project timber reference supplies weathered muted oak palette and painted gamebrushwork only. A single upright stout wooden stake supporting one plain horizontal rectangular wooden board near top. Board blank, legible flat front plane reserved for code-drawn progress bar. No markings, text, numbers or decorative symbol. Subtle 2:1 isometric top/side faces, frontal board readable. Final32×64 transparent RGBA sprite, visible24×48px centered, stake ends at ground y56. At game zoom0.6 source0.3 it should read as a simple T-shaped post with broad board. Broad colourfacets, no tiny woodgrain, no grainnoise, no glow or background, no groundplatform, no castshadow. Soft upperleft light.","construction_timber_frame-v2.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native alpha below128 cleared and remaining silhouette opacity normalized255 before single high-quality Canvas reduction; uniform aspect preserved and centered; ground baseline y56. No hue recolour.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate","One native candidate; selected for distinct delivery mass and projectmaterial palette. Stage1 low single layer; stage2 medium; stage3 high mound/stack. Contactpivot y56."
"construction/well_stages-v1","v1","construction/well_stages-v1.png","7a7e28d44d3b428999dee62d93123d36a56ea80bea51ba070bccf875a2f2ac5b","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-5052-7362-af04-c5838897ea7a/exec-5bc98022-1940-464a-b388-73975e8da984.png","7402504eada01bd01475026fd7eea7d835053e3020d0a5a14d1c05aba897a70c","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:47:20.735Z","ATTEMPT 1; selected=true
Use case: precise-object-edit. Input image well.png is the approved completed medieval English game well, 72×80 pixels, isometric 2:1, warm rubble stone ring, two oak uprights and tile roof. Produce ONE transparent sprite SHEET with THREE equal cells in a single horizontal row, representing construction stages of this exact same well. Each logical cell72×80, total216×80. All three wells have identical centre and ground footprint and ground point at local(36,64); leave blank transparent space above early stages. Cell1: dark shallow oval excavation hole with warm brown freshly dug earth lip, no masonry or timber. Cell2: incomplete low circular rubble stone ring, about three courses high, visibly empty dark opening and partly unfinished top; no timber supports yet. Cell3: completed same stone ring, two timber uprights and bare open triangular oak roof rafters in exact same roof orientation as reference, NO tiles, NO thatch, clearly roof frame construction stage. Progress pit->stone->open roof frame. Keep stone colour, wood, ground ellipse and scale consistent with the approved reference. At final tiny display scale, use broad low-detail brushwork and a clearly dark opening; no micro-noise. Transparent RGBA background, no checkerboard, no ground square, no text/numbers, no border, no labels, no people, no extra bucket outside footprint. Separate all3cells with clear transparent margins. Soft upper-left light, only tight contact AO.","well.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native sheet split into3cells, each uniformly resized once by ground/base width to36px; ground bases centeredx38 and bottomy64 matching approved well footprint; sheet216×80, cells72×80, pivot(36,64). Source crop/scale recorded metrics; transparent alpha cleanup and hiddenRGB bleed2px.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate",""
"fx/completion_burst-v1","v1","fx/completion_burst-v1.png","a68a6d7b7809c9580d073732ec94dfc0566d220e90b8ec1af620b6e3a5469819","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8ce-9c3d-7bd1-b909-22956738dc55/exec-a5bd8d7d-6fe5-49d1-b41e-afc8428e2c7e.png","c47ccf35d292669e6ce4afa5111bde1cbc7bd9e3ad0b5e026d2bba9f342dc51c","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:45:16.655Z","ATTEMPT 1; selected=true
ROLE: transparent effect sprite, nonrepeating. Medieval southern England1300–1450 hand-painted isometric city-builder. Project reference is style and muted palette only; do not copy its sheet. Exactly three distinct frames in a horizontal evenly spaced 3-cell sprite sheet, each square128x128. Same ground anchor bottom center in all3cells: frame0 small expanding warm sawdust and ochre dust arc, frame1 broader sawdust dusty puff with two tiny restrained cream glints, frame2 dissipating dust wisps. Quiet building-completion signal, not explosion, not magic, no large stars. Each frame entirely separated by transparent space. Target 384x128px, use broad shapes designed for display at0.3scale. True transparent RGBA background, no checkerboard drawn, no text, grid, border, vignette, watermark, modern or fantasy effect. Soft top-left lighting, no long cast shadow, no photographic granular texture. Retain gentle translucent alpha for dust. Render the requested sprite sheet only.","effect_dust-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Generated alpha bbox (threshold8) cropped per cell; one Lanczos3 fit to exact target; transparent canvas; bottom-centred anchor. Original generated alpha preserved. No procedural repaint.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave6","candidate only; no game installation","candidate","Selected only generated candidate: project-tone painterly silhouette, alpha preserved; inspected source-size and 0.3-scale on olive background."
