asset_id,file,status,width,height,cell_width,cell_height,columns,frames,directions,pivot_x,pivot_y,pivot_basis,footprint_tiles_x,footprint_tiles_y,prop_world_scale,game_zoom_1_source_scale,game_zoom_06_source_scale,alpha_nonzero_pixels,alpha_opaque_pixels,provenance,reference_files,generated_source,source_sha256,sha256,full_prompt,processing,history_notes
"animal_walk/ox-v1","assets/animal_walk/ox-v1.png","candidate","384","148","96","74","4","2","NE|SE|SW|NW","","","per-frame metadata; inherit registration","","","1","0.5","0.3","19083","1379","byte-reused project candidate","/tmp/astra-wave17-work-20260926/supplemental-wave13-candidates/astra-wave13-candidates-v1/assets/animal_walk/ox-v1.png","/tmp/astra-wave17-work-20260926/supplemental-wave13-candidates/astra-wave13-candidates-v1/assets/animal_walk/ox-v1.png","3ba741cde63793ed3718ccb73abf2eca1d74c7cf54a1c3ceaaa80b972f57f9f9","3ba741cde63793ed3718ccb73abf2eca1d74c7cf54a1c3ceaaa80b972f57f9f9","No generation: byte-for-byte reuse; see records/convoy/assembly.json","","Restrained fourteenth-century visual; no gore; see HISTORICAL_NOTES.md."
"bld/beacon_idle-v1","assets/bld/beacon_idle-v1.png","candidate","128","160","128","160","1","1","","64","151","new candidate ground anchor; overlay inherits target origin","1","1","1","0.5","0.3","4085","2143","builtin imagegen with project references","/tmp/astra-wave17-work-20260926/astra-wave17-reference-files/stage_frame_gate-v1.png","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8e9-c73c-7df0-8174-f7c58669d181/exec-83d739ab-9632-4270-92b5-012eaf7454be.png","421ab7e5e2c7fe7c636b6705a496b1ee980d8b5bb8a480cde750e85eed7d8c33","136b0c47dcb80b8dd8f58fb370fb7d02926dce8fca3d8feac9d2e2337df74fb5","Hand-painted detailed isometric 2:1 medieval city-builder sprite matching the supplied reference art, southern England 1318–1347. Warm earth, weathered oak, low-saturation limestone. Orthographic isometric, light upper left. True transparent RGBA background, isolated sprite no frame no floor tile no text no labels no watermark. Preserve realistic scale, no cartoon outline, no saturated modern effects. Houses/warehouses have NO chimney, flue or stove pipe. No guns, full plate or fantasy. One compact coastal warning beacon: four rough oak legs braced diagonally, stone footing, elevated iron basket packed with unlit dry brushwood. Small ladder at rear. The basket is unlit, daylight, no smoke. Tall readable single structure, entire object within canvas.","Single uniform downsample alpha crop; placement39,44,49,108","Restrained fourteenth-century visual; no gore; see HISTORICAL_NOTES.md."
"bld/beacon_lit-v1","assets/bld/beacon_lit-v1.png","candidate","128","160","128","160","1","1","","64","151","new candidate ground anchor; overlay inherits target origin","1","1","1","0.5","0.3","5368","2143","builtin imagegen with project references","/tmp/astra-wave17-work-20260926/delivery/assets/bld/beacon_idle-v1.png","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8e9-c73c-7df0-8174-f7c58669d181/exec-5e1c74f6-e2db-48c9-8dfa-dfc874688407.png","2d903e2bd8f64be0cc86288d9d7df6412898f01d80aa402f0b45194fbfa3b499","69963047875323ec3d9f8a4c60943e8301209e303477c2320265932e604120ad","Precise-object-edit. Reference is the exact final unlit coastal medieval beacon128x160. Keep tower wood, iron basket, poles, ladder, footstones and ALL pixels of structure position unchanged. Light only basket: a compact broad amber orange flame plume rising from basket top at roughly(64,55) up to(65,12), maximumwidth35pixels. A little greysmoke above and tinywarm glow ONLY near basket. True transparent RGBA canvas. NO new tower or ground. Produce JUST isolated transparent flames/smokeglow overlay in SAME fullcanvas128x160 matching image with emptylowerhalf, for alpha compositing onto original. 14th century handpaintedgame, restrainedorange but clear at50%. No text orborder.","AI flame-only upper crop registered38x51at45,5 onto exact idle sprite. All base pixels below y56 identical.","Restrained fourteenth-century visual; no gore; see HISTORICAL_NOTES.md."
"bld/muster_field-v1","assets/bld/muster_field-v1.png","candidate","256","192","256","192","1","1","","128","191","new candidate ground anchor; overlay inherits target origin","2","2","1","0.5","0.3","20786","17854","builtin imagegen with project references","/tmp/astra-wave17-work-20260926/astra-wave17-reference-files/stage_frame_gate-v1.png","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8e9-c73c-7df0-8174-f7c58669d181/exec-8e4183c4-e1f8-4b52-94c4-ab1ee5f20f93.png","12cadd8f4d15b543584bad391de0bbc2a22da085510ebb4f5eaf3e64a2a8984c","3780fb9436e83970ee42520a765d2bd7db05f4b019770ed7793525d5ead021c5","Hand-painted detailed isometric 2:1 medieval city-builder sprite matching the supplied reference art, southern England 1318–1347. Warm earth, weathered oak, low-saturation limestone. Orthographic isometric, light upper left. True transparent RGBA background, isolated sprite no frame no floor tile no text no labels no watermark. Preserve realistic scale, no cartoon outline, no saturated modern effects. Houses/warehouses have NO chimney, flue or stove pipe. No guns, full plate or fantasy. Small modular militia muster ground: trampled grass clearing, three straw archery butts, bundled straw, a rack holding plain longbows and billhooks, a single faded red banner on a short pole, no people. No modern ringed targets; woven straw round targets only. Arrange coherent isometric loose training clearing with open center. Flattened ground soft isolated irregular edge.","Single uniform downsample alpha crop; placement8,38,240,146","Restrained fourteenth-century visual; no gore; see HISTORICAL_NOTES.md."
"bld/royal_warehouse-v1","assets/bld/royal_warehouse-v1.png","candidate","256","256","256","256","1","1","","128","255","new candidate ground anchor; overlay inherits target origin","2","2","1","0.5","0.3","37654","34888","builtin imagegen with project references","/tmp/astra-wave17-work-20260926/astra-wave17-reference-files/stone_gate_v2-v1.png","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8e9-c73c-7df0-8174-f7c58669d181/exec-c07b7a77-d63a-4b30-b553-8202ac3f5ce2.png","e5a56fbd962747052f5730cc1c00b36950e8047b871622d79f6d4e33837795fc","ad1c9872cdd59cfc6c7e451c81eeecc476bf744bebe1745e30950009c3607e0e","Hand-painted detailed isometric 2:1 medieval city-builder sprite matching the supplied reference art, southern England 1318–1347. Warm earth, weathered oak, low-saturation limestone. Orthographic isometric, light upper left. True transparent RGBA background, isolated sprite no frame no floor tile no text no labels no watermark. Preserve realistic scale, no cartoon outline, no saturated modern effects. Houses/warehouses have NO chimney, flue or stove pipe. No guns, full plate or fantasy. One royal wool levy warehouse for south English harbour town1338, compact two by two tile footprint. Grey stone lower story, weathered timber upper, plain brown tile gable roof NO chimney, large open double timber cargo doors, several rope-tied cream wool bales beside entrance, small red heraldic cloth above door bearing only three tiny gold lions one over another, NOT quartered arms. Not castle or palace. Same building sprite scale reference.","Single uniform downsample alpha crop; placement14,8,227,240","1337–39 visual convention; red/gold three-lion signal, no later quartering."
"cart/ox_cart_body-v1","assets/cart/ox_cart_body-v1.png","candidate","512","192","128","96","4","2","NE|SE|SW|NW","","","per-frame metadata; inherit registration","","","1","0.5","0.3","34156","2817","byte-reused project candidate","/tmp/astra-wave17-work-20260926/supplemental-wave13-candidates/astra-wave13-candidates-v1/assets/cart/ox_cart_body-v1.png","/tmp/astra-wave17-work-20260926/supplemental-wave13-candidates/astra-wave13-candidates-v1/assets/cart/ox_cart_body-v1.png","bc5a7d8c46e532c54bac797bf13636612998c91661c8a7fb3abf761ca445e158","bc5a7d8c46e532c54bac797bf13636612998c91661c8a7fb3abf761ca445e158","No generation: byte-for-byte reuse; see records/convoy/assembly.json","","Restrained fourteenth-century visual; no gore; see HISTORICAL_NOTES.md."
"decal/trampled_field-v1","assets/decal/trampled_field-v1.png","candidate","128","64","128","64","1","1","","64","63","new candidate ground anchor; overlay inherits target origin","1","1","1","0.5","0.3","3127","34","builtin imagegen with project references","/tmp/astra-wave17-work-20260926/astra-wave17-reference-files/stage_frame_gate-v1.png","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8e9-c73c-7df0-8174-f7c58669d181/exec-1fe7f145-25d5-44f0-96cf-a794ac763ba0.png","a6506d01f3d4a47bf3f1118b784b82561b1839af99f67fe42a72714a2cb99ce2","8fd3ee6047d5be374252de04984a9c9d73d35bf05cf295a81ab18a92913ad10e","Hand-painted detailed isometric 2:1 medieval city-builder sprite matching the supplied reference art, southern England 1318–1347. Warm earth, weathered oak, low-saturation limestone. Orthographic isometric, light upper left. True transparent RGBA background, isolated sprite no frame no floor tile no text no labels no watermark. Preserve realistic scale, no cartoon outline, no saturated modern effects. Houses/warehouses have NO chimney, flue or stove pipe. No guns, full plate or fantasy. Ground decal only, isometric diamond patch of trampled wheat stubble and muted dark earthy hoof footprints with two shallow cart wheel ruts diagonally NE to SW. Flattened broken straw and compactedsoil.128x64 footprint. No standingplants no cropsupright no buildings no objects no people no shadowsoutside decal. Soft jagged feathered alpha at ground edges, restrained readable texture.","Single uniform downsample alpha crop; placement11,16,106,48","Restrained fourteenth-century visual; no gore; see HISTORICAL_NOTES.md."
"event/raid_burning_quay-v1","assets/event/raid_burning_quay-v1.png","candidate","256","128","256","128","1","1","","68","119","new candidate ground anchor; overlay inherits target origin","2","2","1","0.5","0.3","3360","40","builtin imagegen with project references","/tmp/astra-wave12-work-20260926/delivery/assets/bld/quay-v1.png","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8e9-c73c-7df0-8174-f7c58669d181/exec-f85d2446-aa76-469b-9c7b-f7be1fc9400e.png","6f427018f9cb2d376d223a0bed3353735e58661e14faa250fd5d4d8f7c30c636","1641a57111cfe03fbdfa442a186113ed56c8f819eb812c899335fc3fd3f9cfaf","Hand-painted detailed isometric 2:1 medieval city-builder sprite matching the supplied reference art, southern England 1318–1347. Warm earth, weathered oak, low-saturation limestone. Orthographic isometric, light upper left. True transparent RGBA background, isolated sprite no frame no floor tile no text no labels no watermark. Preserve realistic scale, no cartoon outline, no saturated modern effects. Houses/warehouses have NO chimney, flue or stove pipe. No guns, full plate or fantasy. EDIT TARGET reference quay. Produce ONLY the registered transparent fire overlay that fits exactly the same 256x128 canvas and unchanged quay position. Do NOT redraw quay stone or add ground. Three moderate orange amber flame clusters on sacks/wood along upper dock diagonal from (90,72) to(218,26), rising20–45pixels, small smoke wisps. Keep base contacts at those coordinates, absolutely transparent everywhere else. Restrained coastal raid damage, no people or bodies. No text.","Independent fire clusters registered to quay cargo surface. Canvas256x128, origin0,0 identical to original quay.","Restrained fourteenth-century visual; no gore; see HISTORICAL_NOTES.md."
"event/raid_smoke_column_sheet-v1","assets/event/raid_smoke_column_sheet-v1.png","candidate","512","192","128","192","4","4","static","64","186","new candidate ground anchor; overlay inherits target origin","1","1","1","0.5","0.3","43617","72","builtin imagegen with project references","/tmp/astra-wave17-work-20260926/astra-wave17-reference-files/stage_frame_gate-v1.png","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8e9-c73c-7df0-8174-f7c58669d181/exec-9f175da1-4c66-4a03-a170-65c97cc87ec1.png","d5b4185309a7c80c36d770d36ffb21b624296f96b37ce7b3e56db2328b62e6ef","56afedbfdb61114f1cd84de7e678b96620df9f0675e3f02b63afa272ecdc28a3","Transparent sprite atlas4columns1row. FOUR consecutive frames of one same grey brown smoke column from small distant coastal fire. Each identicalcell128x192, same bottom-centered anchor, topdiffusiononlychanges, smoke rises and drifts slightlyleft, silhouettebigreadableat50%. Handpainted muted medievalgame matching reference, NOT solidbuilding not realisticphoto. No flames, no objects, no text, no backplate, true transparent RGBA throughout. Consistentbillowing source and size across4frames. Isolated smoke eachcell no overlap. Render atlas1024x384 with4equal256x384 cells fordownsampling.","4x1; cell128x192; common ground pivot64,186. Individual diffusion normalized to same envelope.","Restrained fourteenth-century visual; no gore; see HISTORICAL_NOTES.md."
"herd/wool_sack_convoy-v1","assets/herd/wool_sack_convoy-v1.png","candidate","512","192","128","96","4","2","NE|SE|SW|NW","","","per-frame metadata; inherit registration","","","1","0.5","0.3","8206","0","builtin imagegen with project references","/tmp/astra-wave17-work-20260926/delivery/assets/cart/ox_cart_body-v1.png","/tmp/astra-wave17-work-20260926/delivery/records/convoy/cargo-ai-source.png","6c96e7acb716e8677686424b17e30a6b08516daae2440a32bbed6b34cdf51d21","2dc94bc01b24fffdd9cbaf010cbd929e301e2723951f63c8c2a82f4db5a39ae6","{""tool"":""image_gen.imagegen"",""status"":""candidate"",""prompts"":[""Create ONE transparent RGBA cargo-only sprite sheet for medieval southern England circa 1337, matching the attached exact ox-cart template geometry. Attached image is positional template and painterly isometric style reference. Output 4 columns x 2 rows. Column directions left to right NE up-right, SE down-right, SW down-left, NW up-left; row 0 and row 1 same load, slight cloth flutter only. Each logical cell is 128x96, total final512x192, you may render at exact integer multiple. Draw ONLY compact tied wool sacks and one small muted red royal pennon on a short pole per cell, with three tiny gold lions stacked vertically, NO quartered arms. NO cart, NO wheels, NO animals, NO driver, NO ground, NO grid, NO labels. Cargo placement must sit inside cart body deck in provided reference: cell-local deck region NE x20..70 y30..57, SE x23..69 y22..49, SW x55..103 y22..49, NW x58..106 y30..57. Fit three sacks into each bed footprint. Small flag pole mounted rear bed corner rises above sacks; no modern heraldry. Muted oatmeal canvas sacks, woven wool fibers, dark hemp ties, hand painted historical citybuilder finish, upper-left soft light, exact 2:1 isometric projection. Empty transparent pixels everywhere else. Keep each cargo group isolated from adjacent cells. Do not draw or regenerate any template cart pixels: cargo and pole only."",""Edit this exact cargo sprite sheet: preserve all eight wool-sack groups and red flags with three gold lions and their exact layout. Remove ALL background, colored glow, haze, shadow halos and floor shadows. Output true hard-clean transparent RGBA with only sacks, hemp ties, flags, flagpoles opaque. Empty spaces MUST have alpha zero, no semi-transparent colored clouds or gradients. Keep 4columns2rows. No cart no animal no text. Do not change sack or flag designs.""],""reference"":""astra-wave17-reference-files/ox_cart_body-v1.png"",""raw"":[""exec-9998972e-cf64-438f-b10d-ed3be69de935.png"",""exec-1aa16dc4-caca-4bd7-b96e-c1473fe08d0b.png""],""note"":""view_image displayed hidden RGB haze. Pixel checks show surrounding haze alpha=0; preserve alpha.""}","","1337–39 visual convention; red/gold three-lion signal, no later quartering."
