suite,cell,row,column,portrait_px,status,finding_ids,notes
01-faces,1,1,1,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,1,1,1,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,2,1,2,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,2,1,2,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,3,1,3,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,3,1,3,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,4,1,4,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,4,1,4,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,5,1,5,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,5,1,5,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,6,2,1,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,6,2,1,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,7,2,2,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,7,2,2,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,8,2,3,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,8,2,3,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,9,2,4,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,9,2,4,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,10,2,5,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,10,2,5,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,11,3,1,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,11,3,1,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,12,3,2,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,12,3,2,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,13,3,3,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,13,3,3,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,14,3,4,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,14,3,4,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,15,3,5,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,15,3,5,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,16,4,1,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,16,4,1,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,17,4,2,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,17,4,2,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,18,4,3,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,18,4,3,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,19,4,4,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,19,4,4,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,20,4,5,256,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
01-faces,20,4,5,96,NOT_VERIFIED,R11,귀 중심과 이마선 위치 정량 미검증
02-combinations,1,1,1,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,1,1,1,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,2,1,2,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,2,1,2,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,3,1,3,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,3,1,3,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,4,1,4,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,4,1,4,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,5,1,5,256,REVIEW_REQUIRED,R09,나이 overlay 표면 자연스러움 잔여 우려
02-combinations,5,1,5,96,REVIEW_REQUIRED,R09,나이 overlay 표면 자연스러움 잔여 우려
02-combinations,6,1,6,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,6,1,6,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,7,2,1,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,7,2,1,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,8,2,2,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,8,2,2,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,9,2,3,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,9,2,3,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,10,2,4,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,10,2,4,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,11,2,5,256,REVIEW_REQUIRED,R09,나이 overlay 표면 자연스러움 잔여 우려
02-combinations,11,2,5,96,REVIEW_REQUIRED,R09,나이 overlay 표면 자연스러움 잔여 우려
02-combinations,12,2,6,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,12,2,6,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,13,3,1,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,13,3,1,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,14,3,2,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,14,3,2,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,15,3,3,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,15,3,3,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,16,3,4,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,16,3,4,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,17,3,5,256,REVIEW_REQUIRED,R09,나이 overlay 표면 자연스러움 잔여 우려
02-combinations,17,3,5,96,REVIEW_REQUIRED,R09,나이 overlay 표면 자연스러움 잔여 우려
02-combinations,18,3,6,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,18,3,6,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,19,4,1,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,19,4,1,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,20,4,2,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,20,4,2,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,21,4,3,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,21,4,3,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,22,4,4,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,22,4,4,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,23,4,5,256,REVIEW_REQUIRED,R09,나이 overlay 표면 자연스러움 잔여 우려
02-combinations,23,4,5,96,REVIEW_REQUIRED,R09,나이 overlay 표면 자연스러움 잔여 우려
02-combinations,24,4,6,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,24,4,6,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,25,5,1,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,25,5,1,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,26,5,2,256,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,26,5,2,96,NO_OBVIOUS_DEFECT_OBSERVED,,육안 관찰 범위; 픽셀 전수 인증 아님
02-combinations,27,5,3,256,REVIEW_REQUIRED,R07,아이 귀 아래 목-후드 사이 작은 배경 노출; 256/96 모두 잔존
