"identity_id","stage","id","file","sex","age","class","occupation","role","prop","prop_group","body","direction","hair_color","skin_tone","features","clothing","marital_status","expression","headwear_type","source_file","source_sha256","reference_files","prompt","sha256"
"I069","young","I069_young","portraits/I069_young.png","m","24","artisan","miller","방앗간 주인","grain_measure","other","heavy","left","dark auburn","warm ivory with copper freckles","very tall cylindrical head; narrow sloping forehead; enormous low-set rounded ears; small close-set grey eyes; long straight nose ending in an unusually broad forked tip; tiny upper lip and full lower lip; long wedge-shaped chin","good russet wool cote with flour-dusted indigo work apron, rolled practical cuffs, sturdy broad shoulders","married","neutral","felt_hat","provenance/raw/I069_young.png","3dc3ec6ada7502e58a2916753196e61dd71ef0d875a535aa34fa53a65002994b","provenance/references/5ab20f510948-style-1.jpg","Use case: historical-scene. Create ONE SINGLE square finished 1300 England game portrait, no grid, no labels. Input is STYLE ONLY, do not copy any person's identity or accessories. Match reference natural hand-painted oil/gouache realism, restrained brush texture and soft upper-left light, flat opaque muted grey-brown background. Full head inside frame with modest top margin, shoulders and lower bust included for costume and prescribed prop. Distinct natural human with bold anatomical individuality, not a generic actor in new costume. No black-tipped ermine fur, no fantasy, no modern haircut, no text. ONE complete hand-painted natural realistic bust of I069, a 24-year-old man, southern England around 1300, role: miller. Genuinely facing image LEFT in three-quarter view; paint this direction, never mirror. Permanent anatomical identity: very tall cylindrical head; narrow sloping forehead; enormous low-set rounded ears; small close-set grey eyes; long straight nose ending in an unusually broad forked tip; tiny upper lip and full lower lip; long wedge-shaped chin. Build: full cheeks, substantial neck and broad fleshy shoulders, visibly heavier build; not caricature. Skin: warm ivory with copper freckles; never connect skin tone or body to class, morality or nationality. Hair: dark auburn; natural blunt medieval bob reaching below both ears, no cropped modern sides; short auburn chin beard. Age: A genuinely grown young adult with adult jaw, longer neck and adult shoulders, youthful firm skin without deep age wrinkles. Expression: quiet neutral relaxed mouth and naturally alert eyes. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: good russet wool cote with flour-dusted indigo work apron, rolled practical cuffs, sturdy broad shoulders. Headwear: low soft felt cap above natural blunt ear-below medieval bob, no modern cropped sides. Prop staging, exactly: a small open wooden grain measuring cup supported in the LEFT palm at lower left. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","5696b4e027cb60c87d26d5b2b27ee307702cc42430b5d2f560768e35b4816350"
"I069","mature","I069_mature","portraits/I069_mature.png","m","45","artisan","miller","방앗간 주인","grain_measure","other","heavy","left","dark auburn with visible grey strands","warm ivory with copper freckles","very tall cylindrical head; narrow sloping forehead; enormous low-set rounded ears; small close-set grey eyes; long straight nose ending in an unusually broad forked tip; tiny upper lip and full lower lip; long wedge-shaped chin","good russet wool cote with flour-dusted indigo work apron, rolled practical cuffs, sturdy broad shoulders","married","neutral","felt_hat","provenance/raw/I069_mature.png","afbc6e524b05fcb2de03d7b8c8242589bff574fd76f25cfc38c89cbb1dbfc620","provenance/references/5696b4e027cb-I069_mature-r1-ref0.png","Use case: identity-preserve. Input image is EXACT young identity to age, not merely style. Paint ONE complete finished bust of this SAME person at the requested age. Preserve distinctive skull silhouette, nose shape, eye spacing, chin, ears, skin family, direction, body build, costume quality, hand/prop positioning, brushwork, lighting and background. Mature MUST have noticeable midlife facial tissue/lines and partial grey, old MUST clearly have deeper wrinkles sagging and white-grey hair/beard. Follow requested changes of expression/headwear while remaining recognizable as this same person; not merely different hair. Keep 1300 England costume. Never add extra objects, no book unless explicitly assigned. No labels, no grid, no mirroring. ONE complete hand-painted natural realistic bust of I069, a 45-year-old man, southern England around 1300, role: miller. Genuinely facing image LEFT in three-quarter view; paint this direction, never mirror. Permanent anatomical identity: very tall cylindrical head; narrow sloping forehead; enormous low-set rounded ears; small close-set grey eyes; long straight nose ending in an unusually broad forked tip; tiny upper lip and full lower lip; long wedge-shaped chin. Build: full cheeks, substantial neck and broad fleshy shoulders, visibly heavier build; not caricature. Skin: warm ivory with copper freckles; never connect skin tone or body to class, morality or nationality. Hair: dark auburn with visible grey strands; natural blunt medieval bob reaching below both ears, no cropped modern sides; short auburn chin beard. Age: Same person at forty-five: visible moderate crow feet, forehead creases and nasolabial folds, subtle greying and mature tissue; not merely a changed hat. Expression: quiet neutral relaxed mouth and naturally alert eyes. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: good russet wool cote with flour-dusted indigo work apron, rolled practical cuffs, sturdy broad shoulders. Headwear: low soft felt cap above natural blunt ear-below medieval bob, no modern cropped sides. Prop staging, exactly: a small open wooden grain measuring cup supported in the LEFT palm at lower left. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","0ffbd1d0085fe1f6a0c4b726e9acfd8ab3cb0a5cf5fdc58334bff4f613b1a22e"
"I069","old","I069_old","portraits/I069_old.png","m","70","artisan","miller","방앗간 주인","grain_measure","other","heavy","left","grey-white hair with remnants of dark auburn","warm ivory with copper freckles","very tall cylindrical head; narrow sloping forehead; enormous low-set rounded ears; small close-set grey eyes; long straight nose ending in an unusually broad forked tip; tiny upper lip and full lower lip; long wedge-shaped chin","good russet wool cote with flour-dusted indigo work apron, rolled practical cuffs, sturdy broad shoulders","married","tired_worried","felt_hat","provenance/raw/I069_old.png","de61a56848bf6a8fcd424f83e9abc9d397c1cccb7fc90e3a465db94caf1bd59b","provenance/references/5696b4e027cb-I069_old-r1-ref0.png","Use case: identity-preserve. Input image is EXACT young identity to age, not merely style. Paint ONE complete finished bust of this SAME person at the requested age. Preserve distinctive skull silhouette, nose shape, eye spacing, chin, ears, skin family, direction, body build, costume quality, hand/prop positioning, brushwork, lighting and background. Mature MUST have noticeable midlife facial tissue/lines and partial grey, old MUST clearly have deeper wrinkles sagging and white-grey hair/beard. Follow requested changes of expression/headwear while remaining recognizable as this same person; not merely different hair. Keep 1300 England costume. Never add extra objects, no book unless explicitly assigned. No labels, no grid, no mirroring. ONE complete hand-painted natural realistic bust of I069, a 70-year-old man, southern England around 1300, role: miller. Genuinely facing image LEFT in three-quarter view; paint this direction, never mirror. Permanent anatomical identity: very tall cylindrical head; narrow sloping forehead; enormous low-set rounded ears; small close-set grey eyes; long straight nose ending in an unusually broad forked tip; tiny upper lip and full lower lip; long wedge-shaped chin. Build: full cheeks, substantial neck and broad fleshy shoulders, visibly heavier build; not caricature. Skin: warm ivory with copper freckles; never connect skin tone or body to class, morality or nationality. Hair: grey-white hair with remnants of dark auburn; natural blunt medieval bob reaching below both ears, no cropped modern sides; short auburn chin beard. Age: Same person at seventy: clearly visible deeper wrinkles, eyelid and cheek sag, age spots, grey-white thinning hair; preserve all distinctive skeletal landmarks. Expression: clearly legible restrained concern or fatigue, knitted inner brows and weary softened mouth, no moral coding. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: good russet wool cote with flour-dusted indigo work apron, rolled practical cuffs, sturdy broad shoulders. Headwear: low soft felt cap above natural blunt ear-below medieval bob, no modern cropped sides. Prop staging, exactly: a small open wooden grain measuring cup supported in the LEFT palm at lower left. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","d7a5ce48231eba4619f8d2e6ae9316509232d54649d504d5b4c2d9cbb56e2981"
"I070","young","I070_young","portraits/I070_young.png","f","24","artisan","alewife","에일 양조 여인","ale_jug","other","thin","right","black-brown","medium olive with warm ochre undertones","low broad domed forehead; wide-set heavy-lidded amber eyes; extremely short narrow upturned nose; projecting broad upper lip over tiny lower lip; high asymmetrical cheekbones and long tapering jaw; pointed right ear","well-kept madder-brown wool kirtle, dark moss apron and plain linen cuffs, prosperous working craft dress","married","neutral","colored_headscarf","provenance/raw/I070_young.png","b6f04f35c6ef5771e4907aa0ec160d639ab4d9b10e6a546d82d5f6b4f652a4c2","provenance/references/5ab20f510948-style-1.jpg","Use case: historical-scene. Create ONE SINGLE square finished 1300 England game portrait, no grid, no labels. Input is STYLE ONLY, do not copy any person's identity or accessories. Match reference natural hand-painted oil/gouache realism, restrained brush texture and soft upper-left light, flat opaque muted grey-brown background. Full head inside frame with modest top margin, shoulders and lower bust included for costume and prescribed prop. Distinct natural human with bold anatomical individuality, not a generic actor in new costume. No black-tipped ermine fur, no fantasy, no modern haircut, no text. ONE complete hand-painted natural realistic bust of I070, a 24-year-old woman, southern England around 1300, role: alewife. Genuinely facing image RIGHT in three-quarter view; paint this direction, never mirror. Permanent anatomical identity: low broad domed forehead; wide-set heavy-lidded amber eyes; extremely short narrow upturned nose; projecting broad upper lip over tiny lower lip; high asymmetrical cheekbones and long tapering jaw; pointed right ear. Build: slender neck and narrow bony shoulders, lean tissue; skull size independent of build. Skin: medium olive with warm ochre undertones; never connect skin tone or body to class, morality or nationality. Hair: black-brown; natural female hair consistent with headwear. Age: A genuinely grown young adult with adult jaw, longer neck and adult shoulders, youthful firm skin without deep age wrinkles. Expression: quiet neutral relaxed mouth and naturally alert eyes. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: well-kept madder-brown wool kirtle, dark moss apron and plain linen cuffs, prosperous working craft dress. Headwear: muted ochre or russet cloth headscarf tied close around head, visibly colored not white. Prop staging, exactly: a small glazed green earthenware ale jug hugged against the LEFT lower ribs. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","c3f5f2c1933360db95b1937865d46a62fa8d7845aa1ea35bb00a293e7eb63ec3"
"I070","mature","I070_mature","portraits/I070_mature.png","f","45","artisan","alewife","에일 양조 여인","ale_jug","other","thin","right","black-brown with visible grey strands","medium olive with warm ochre undertones","low broad domed forehead; wide-set heavy-lidded amber eyes; extremely short narrow upturned nose; projecting broad upper lip over tiny lower lip; high asymmetrical cheekbones and long tapering jaw; pointed right ear","well-kept madder-brown wool kirtle, dark moss apron and plain linen cuffs, prosperous working craft dress","married","slight_smile","hood","provenance/raw/I070_mature.png","fb387d302e86d4af1f21ae11d2d0a25783c3d6f73ee65c0431041146e4d7cc94","provenance/references/c3f5f2c19333-I070_mature-r1-ref0.png","Use case: identity-preserve. Input image is EXACT young identity to age, not merely style. Paint ONE complete finished bust of this SAME person at the requested age. Preserve distinctive skull silhouette, nose shape, eye spacing, chin, ears, skin family, direction, body build, costume quality, hand/prop positioning, brushwork, lighting and background. Mature MUST have noticeable midlife facial tissue/lines and partial grey, old MUST clearly have deeper wrinkles sagging and white-grey hair/beard. Follow requested changes of expression/headwear while remaining recognizable as this same person; not merely different hair. Keep 1300 England costume. Never add extra objects, no book unless explicitly assigned. No labels, no grid, no mirroring. ONE complete hand-painted natural realistic bust of I070, a 45-year-old woman, southern England around 1300, role: alewife. Genuinely facing image RIGHT in three-quarter view; paint this direction, never mirror. Permanent anatomical identity: low broad domed forehead; wide-set heavy-lidded amber eyes; extremely short narrow upturned nose; projecting broad upper lip over tiny lower lip; high asymmetrical cheekbones and long tapering jaw; pointed right ear. Build: slender neck and narrow bony shoulders, lean tissue; skull size independent of build. Skin: medium olive with warm ochre undertones; never connect skin tone or body to class, morality or nationality. Hair: black-brown with visible grey strands; natural female hair consistent with headwear. Age: Same person at forty-five: visible moderate crow feet, forehead creases and nasolabial folds, subtle greying and mature tissue; not merely a changed hat. Expression: clearly legible gentle closed-mouth smile, lifted mouth corners and softened eyes, not a broad grin. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: well-kept madder-brown wool kirtle, dark moss apron and plain linen cuffs, prosperous working craft dress. Headwear: early 1300 simple wool hood with shoulder cape, no later turban chaperon; male natural bob ends below ears. Prop staging, exactly: a small glazed green earthenware ale jug hugged against the LEFT lower ribs. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","caadf65763cbbccdca53f9ddbf094accc512a4febfe94db3ddf05aa86c8b2b84"
"I070","old","I070_old","portraits/I070_old.png","f","70","artisan","alewife","에일 양조 여인","ale_jug","other","thin","right","grey-white hair with remnants of black-brown","medium olive with warm ochre undertones","low broad domed forehead; wide-set heavy-lidded amber eyes; extremely short narrow upturned nose; projecting broad upper lip over tiny lower lip; high asymmetrical cheekbones and long tapering jaw; pointed right ear","well-kept madder-brown wool kirtle, dark moss apron and plain linen cuffs, prosperous working craft dress","married","neutral","coif","provenance/raw/I070_old.png","00dc9865886c0d46d6d0acf9a932e3ed7808c82e2ae83c9bba5302dd89368362","provenance/references/c3f5f2c19333-I070_old-r1-ref0.png","Use case: identity-preserve. Input image is EXACT young identity to age, not merely style. Paint ONE complete finished bust of this SAME person at the requested age. Preserve distinctive skull silhouette, nose shape, eye spacing, chin, ears, skin family, direction, body build, costume quality, hand/prop positioning, brushwork, lighting and background. Mature MUST have noticeable midlife facial tissue/lines and partial grey, old MUST clearly have deeper wrinkles sagging and white-grey hair/beard. Follow requested changes of expression/headwear while remaining recognizable as this same person; not merely different hair. Keep 1300 England costume. Never add extra objects, no book unless explicitly assigned. No labels, no grid, no mirroring. ONE complete hand-painted natural realistic bust of I070, a 70-year-old woman, southern England around 1300, role: alewife. Genuinely facing image RIGHT in three-quarter view; paint this direction, never mirror. Permanent anatomical identity: low broad domed forehead; wide-set heavy-lidded amber eyes; extremely short narrow upturned nose; projecting broad upper lip over tiny lower lip; high asymmetrical cheekbones and long tapering jaw; pointed right ear. Build: slender neck and narrow bony shoulders, lean tissue; skull size independent of build. Skin: medium olive with warm ochre undertones; never connect skin tone or body to class, morality or nationality. Hair: grey-white hair with remnants of black-brown; natural female hair consistent with headwear. Age: Same person at seventy: clearly visible deeper wrinkles, eyelid and cheek sag, age spots, grey-white thinning hair; preserve all distinctive skeletal landmarks. Expression: quiet neutral relaxed mouth and naturally alert eyes. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: well-kept madder-brown wool kirtle, dark moss apron and plain linen cuffs, prosperous working craft dress. Headwear: close plain white linen coif tied discreetly beneath chin, not a long white veil. Prop staging, exactly: a small glazed green earthenware ale jug hugged against the LEFT lower ribs. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","8121e6bdefae77a69ab7be5c48491124318da0aee9f496079d7f173e377070c7"
"I071","young","I071_young","portraits/I071_young.png","f","24","artisan","baker","빵집 주인","none","none","average","front","ash brown","pale peach with a rosy nose","very broad hexagonal face; exceptionally deep-set narrow blue eyes; high thin arched eyebrows; short broad nose with a sharply triangular tip; long narrow upper lip; large round protruding chin with tiny off-centre dimple; large lobed ears","ochre wool kirtle with clean heavy flour-speckled linen apron, simple cuffs and practical tied neckline","married","neutral","coif","provenance/raw/I071_young.png","95b509118ab00f73998e5e7e89c4509acd19ad41ad90a631ed996af714492443","provenance/references/5ab20f510948-style-1.jpg","Use case: historical-scene. Create ONE SINGLE square finished 1300 England game portrait, no grid, no labels. Input is STYLE ONLY, do not copy any person's identity or accessories. Match reference natural hand-painted oil/gouache realism, restrained brush texture and soft upper-left light, flat opaque muted grey-brown background. Full head inside frame with modest top margin, shoulders and lower bust included for costume and prescribed prop. Distinct natural human with bold anatomical individuality, not a generic actor in new costume. No black-tipped ermine fur, no fantasy, no modern haircut, no text. ONE complete hand-painted natural realistic bust of I071, a 24-year-old woman, southern England around 1300, role: baker. Genuinely facing the viewer nearly front-on with natural slight asymmetry; no mirroring. Permanent anatomical identity: very broad hexagonal face; exceptionally deep-set narrow blue eyes; high thin arched eyebrows; short broad nose with a sharply triangular tip; long narrow upper lip; large round protruding chin with tiny off-centre dimple; large lobed ears. Build: ordinary medium neck and shoulders, moderate cheek tissue. Skin: pale peach with a rosy nose; never connect skin tone or body to class, morality or nationality. Hair: ash brown; natural female hair consistent with headwear. Age: A genuinely grown young adult with adult jaw, longer neck and adult shoulders, youthful firm skin without deep age wrinkles. Expression: quiet neutral relaxed mouth and naturally alert eyes. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: ochre wool kirtle with clean heavy flour-speckled linen apron, simple cuffs and practical tied neckline. Headwear: close plain white linen coif tied discreetly beneath chin, not a long white veil. Prop staging, exactly: no handheld object; both hands below the crop; do not add bread, book or scroll. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","241bd4eb9c4d4d9e0c4b4eb12fcfae8724e82c4e534201f852b9fb845d303aca"
"I071","mature","I071_mature","portraits/I071_mature.png","f","45","artisan","baker","빵집 주인","none","none","average","front","ash brown with visible grey strands","pale peach with a rosy nose","very broad hexagonal face; exceptionally deep-set narrow blue eyes; high thin arched eyebrows; short broad nose with a sharply triangular tip; long narrow upper lip; large round protruding chin with tiny off-centre dimple; large lobed ears","ochre wool kirtle with clean heavy flour-speckled linen apron, simple cuffs and practical tied neckline","married","tired_worried","white_veil","provenance/raw/I071_mature.png","8f8ae615aaa2230fe76edca977796034242fd93de37421fbb2626b1e2a1b2a98","provenance/references/2c0f49df13b3-I071_mature-before-r2.png","Use case: precise-object-edit. Keep this EXACT 45-year-old baker woman face, facial identity, concerned expression, hair, age wrinkles, body, ochre wool dress, white work apron, pose, lighting, painterly style and grey-brown background unchanged. Change ONLY her short linen head covering to a proper plain WHITE LINEN VEIL: a longer loose sheet laid over crown with visible natural hairline and two substantial soft draping ends reaching shoulders on both sides of neck. The neck and throat remain completely EXPOSED, no wimple, no under-chin cloth and no coif ties. It must plainly read as a long veil not a tiny cap. No other changes, no props, no text.","1eddebf5d2a3f3eaca8b2d2a67b879fe786917fa856ea18aea5658aaaceaf1e5"
"I071","old","I071_old","portraits/I071_old.png","f","70","artisan","baker","빵집 주인","none","none","average","front","grey-white hair with remnants of ash brown","pale peach with a rosy nose","very broad hexagonal face; exceptionally deep-set narrow blue eyes; high thin arched eyebrows; short broad nose with a sharply triangular tip; long narrow upper lip; large round protruding chin with tiny off-centre dimple; large lobed ears","ochre wool kirtle with clean heavy flour-speckled linen apron, simple cuffs and practical tied neckline","married","neutral","veil_wimple","provenance/raw/I071_old.png","190fb393f09391b06ddac6ff689bdfae8d4dd4f2b30e5705c79619962be85f8b","provenance/references/241bd4eb9c4d-I071_old-r1-ref0.png","Use case: identity-preserve. Input image is EXACT young identity to age, not merely style. Paint ONE complete finished bust of this SAME person at the requested age. Preserve distinctive skull silhouette, nose shape, eye spacing, chin, ears, skin family, direction, body build, costume quality, hand/prop positioning, brushwork, lighting and background. Mature MUST have noticeable midlife facial tissue/lines and partial grey, old MUST clearly have deeper wrinkles sagging and white-grey hair/beard. Follow requested changes of expression/headwear while remaining recognizable as this same person; not merely different hair. Keep 1300 England costume. Never add extra objects, no book unless explicitly assigned. No labels, no grid, no mirroring. ONE complete hand-painted natural realistic bust of I071, a 70-year-old woman, southern England around 1300, role: baker. Genuinely facing the viewer nearly front-on with natural slight asymmetry; no mirroring. Permanent anatomical identity: very broad hexagonal face; exceptionally deep-set narrow blue eyes; high thin arched eyebrows; short broad nose with a sharply triangular tip; long narrow upper lip; large round protruding chin with tiny off-centre dimple; large lobed ears. Build: ordinary medium neck and shoulders, moderate cheek tissue. Skin: pale peach with a rosy nose; never connect skin tone or body to class, morality or nationality. Hair: grey-white hair with remnants of ash brown; natural female hair consistent with headwear. Age: Same person at seventy: clearly visible deeper wrinkles, eyelid and cheek sag, age spots, grey-white thinning hair; preserve all distinctive skeletal landmarks. Expression: quiet neutral relaxed mouth and naturally alert eyes. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: ochre wool kirtle with clean heavy flour-speckled linen apron, simple cuffs and practical tied neckline. Headwear: white linen veil combined with a close linen wimple enclosing neck and chin. Prop staging, exactly: no handheld object; both hands below the crop; do not add bread, book or scroll. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","fa67c0ec90520502d6f135004be3a7e88d331a1d3fc8f5d4a490563613b98739"
"I072","young","I072_young","portraits/I072_young.png","m","24","labour","reeve","reeve 촌장·수확 감독","measuring_rod","other","average","left","chestnut","ruddy light brown","wide low brow and strongly tapered temples; very large grey eyes close together; long strongly concave nose with a tiny raised tip; wide flat lips with one lowered corner; narrow jutting chin; one noticeably flared ear","sound undyed brown homespun cote, muted green wool hood-cape, reinforced cuffs, clean practical tenant-farmer clothing and upright supervisory posture","married","slight_smile","hood","provenance/raw/I072_young.png","f0a3d7f8ae3936a1cd38fe9b463dbdb94b9c444790203bd80818beb597c039c7","provenance/references/5ab20f510948-style-1.jpg","Use case: historical-scene. Create ONE SINGLE square finished 1300 England game portrait, no grid, no labels. Input is STYLE ONLY, do not copy any person's identity or accessories. Match reference natural hand-painted oil/gouache realism, restrained brush texture and soft upper-left light, flat opaque muted grey-brown background. Full head inside frame with modest top margin, shoulders and lower bust included for costume and prescribed prop. Distinct natural human with bold anatomical individuality, not a generic actor in new costume. No black-tipped ermine fur, no fantasy, no modern haircut, no text. ONE complete hand-painted natural realistic bust of I072, a 24-year-old man, southern England around 1300, role: reeve. Genuinely facing image LEFT in three-quarter view; paint this direction, never mirror. Permanent anatomical identity: wide low brow and strongly tapered temples; very large grey eyes close together; long strongly concave nose with a tiny raised tip; wide flat lips with one lowered corner; narrow jutting chin; one noticeably flared ear. Build: ordinary medium neck and shoulders, moderate cheek tissue. Skin: ruddy light brown; never connect skin tone or body to class, morality or nationality. Hair: chestnut; natural blunt medieval bob reaching below both ears, no cropped modern sides; neat short chestnut moustache and beard. Age: A genuinely grown young adult with adult jaw, longer neck and adult shoulders, youthful firm skin without deep age wrinkles. Expression: clearly legible gentle closed-mouth smile, lifted mouth corners and softened eyes, not a broad grin. Class must read from costume texture, cut, fur, headwear and posture even if the prop is hidden: sound undyed brown homespun cote, muted green wool hood-cape, reinforced cuffs, clean practical tenant-farmer clothing and upright supervisory posture. Headwear: early 1300 simple wool hood with shoulder cape, no later turban chaperon; male natural bob ends below ears. Prop staging, exactly: a short plain wooden measuring rod held diagonally under the LEFT forearm at bottom edge, no writing. ABSOLUTELY NO BOOK, SCROLL, DOCUMENT OR PAPER. Do not add extra generic props. Preserve this same unique skull, nose, eyes, lips, ears and chin across ages; adult growth follows child landmarks. Whole completed person painted together, no assembled layers. Bust fills square with headwear fully inside frame and enough lower torso for the stated object, upper-left soft light, opaque flat muted grey-brown background. Painterly realism matching approved pilot, natural individualized face, not caricature, no modern haircuts or fantasy clothing.","8e6c8cb0bb0373ac91a989bf12c973effae22f44d25257b69e9241a90f895987"
