"assetId","version","runtimePath","runtimeSha256","sourcePath","sourceSha256","tool","model","generatedAt","prompt","referenceInputs","seed","candidates","manualEdits","artBible","historicalProfile","owner","usedIn","status","notes"
"wk_child_f_01-v1","v1","actors/wk_child_f_01-v1.png","a8ddff1cf198dbac1606f739b450f06969a7a116661f5de112b395942b5a8c40","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8a8-4aea-7493-a5a3-54df30981268/exec-e491cbe0-516c-4649-81ba-de8b1e207ed1.png","a34e29e1a0c361bd442a109293fe253f23db04a9206719023dea240ad3c008b1","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:02:39.873Z","ATTEMPT 1; selected=true
Use case: identity-preserve. EDIT TARGET image1 actor_child_template_f-v1.png; project style reference image2 wk_labor_f_01-v1.png. Create wk_child_f_01-v1 by repainting ONLY clothing hair and skin on the exact existing CHILD GIRL 4-column 2-row walk sprite sheet. Keep exact original canvas 288x144 layout, transparent background, each sprite pixel silhouette, head location, arms, legs, shoes and foot placement. Columns face NE SE SW NW; row0 frame0 and row1 frame1 must preserve opposite forward foot, never duplicate poses. Outfit one consistent simple muted dusty olive wool child kirtle with small cream linen coif, youthful face, no wimple, no widow outfit, no objects. Child proportions unchanged, NOT adult. Same coif shape and garment length all directions. Soft top-left light, broad painterly game shapes. Preserve original feet/shoes unchanged. No shadow, no labels, no grid. Do not generate a new arrangement; reskin attached template in place.","actor_child_template_f-v1.png; wk_labor_f_01-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native source per-cell bounding-box registration by Canvas; exact original template alpha and bottom9px restored per-cell pixel-for-pixel. Original head silhouette locked; generated garment/head paint clipped. Prompt mistakenly specified288x144; actual output uses authoritative296x148 template.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Native edit source. Pose lock achieved mechanically in final, not native generation."
"wk_child_f_02-v1","v1","actors/wk_child_f_02-v1.png","85f48c179ace72804705910d60d804a12bc6705e4784e3a83a62a853f0830287","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8a8-4aea-7493-a5a3-54df30981268/exec-6e1f1e64-133f-471a-995d-35b06a1133a1.png","40dde0eadde758672811670c97bbceeecd55f991ea67734e282d222db79a095d","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:03:28.392Z","ATTEMPT 1; selected=true
Use case: identity-preserve. Edit ONLY the attached actor_child_template_f-v1 transparent 4-column x2-row sprite sheet. Preserve CHILD girl exact silhouettes, pose, frame layout, foot positions and head positions. Repaint clothes/hair/skin only; do not invent new poses or grow into adults. wk_child_f_02-v1: muted dusty blue simple wool kirtle, ochre-brown close fitting cloth cap with visible brown hair, youthful face. Same cap and garment length for NE SE SW NW, 2 complementary walk frames. Pixel-for-pixel feet and legs, arms and all outer silhouette remain from input. Top-left soft game lighting, original painterly style. No objects, no beard, no wimple, no apron added, no labels, no grid, no shadows, real transparent background. Sheet original288x144, retain original arrangement with eight distinct tiny figures. Different palette/head cloth from cream-coif olive first variant; entirely template reskin, no free generation.","actor_child_template_f-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native source per-cell bounding-box registration by Canvas; exact original template alpha and bottom9px restored per-cell pixel-for-pixel. Original head silhouette locked; generated garment/head paint clipped. Prompt mistakenly specified288x144; actual output uses authoritative296x148 template.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Native edit source. Pose lock achieved mechanically in final, not native generation."
"wk_child_m_01-v1","v1","actors/wk_child_m_01-v1.png","7d696a0d530e95b63f91965c5e57843f4abbbea2e3d009c993cec2504bd8089d","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8a8-0427-7051-8a9d-1bafab8463bb/exec-aee1e301-cc01-4506-aa04-76610aa2527b.png","43fd22a2e7d43c54770c851157386e2584fb48d1702dc821a1a34fd249fdd9f6","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:02:16.511Z","ATTEMPT 1; selected=true
Use case: identity-preserve. EDIT TARGET image is exact 296x148 transparent sprite sheet, eight medieval CHILD BOY poses arranged 4 columns x2 rows of74x74 cells. Keep all eight same positions, silhouettes, head size, body proportions, legs, shoes, feet and gait exactly. Do NOT regenerate the character poses. Only repaint hair, skin and clothing surfaces inside existing shapes. Variant01: simple muted moss-olive wool tunic with a plain tan belt, brown soft shoes unchanged, warm brown short bare hair, pale weathered natural skin. Southern England1300–1450 painterly isometric game sprite matching original brushwork. Four directions across NE SE SW NW, row0 androw1 opposite walking steps MUST remain exact from original. Preserve direction of faces and all arms. No coif, no objects, no facial hair, no backdrop, actual transparent background, no text. Output same layout and proportions as target. Clothing and hair identical costume across all directions and frames. All feet pixels and leg pose unchanged. This is a reskin edit only.","actor_child_template_m-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Per-cell row-wise registration of generated hair/cloth surfaces to template alpha; 78% native paint +22% original shading. Exact original alpha globally. Original RGBA retained from each cell bounding-box bottom-15 through cell bottom (entire lower legs/feet). No recolour-only substitute. Native output gait failed; final gait restored by protected template pixels.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Native image repeats leading foot between rows. Delivered composite retains original template gait pixel-for-pixel in protected lower regions; head centroid here measures alpha geometry, not facial landmark identity."
"wk_child_m_02-v1","v1","actors/wk_child_m_02-v1.png","d4f23c093d9dea2ee81b9cde6e34c48c72aebc99609610a971d6e7b858e16e6d","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8a8-0427-7051-8a9d-1bafab8463bb/exec-c6b94df4-aa78-4435-864f-212d9b56d02c.png","69924ef0ffc59f91038fb7aa990555730d65f881fcb7d798b2f72588d6311c05","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:02:51.429Z","ATTEMPT 1; selected=true
Use case: identity-preserve. EDIT TARGET image is exact 296x148 transparent sprite sheet, eight medieval CHILD BOY poses arranged 4 columns x2 rows of74x74 cells. Keep all eight same positions, silhouettes, head size, body proportions, legs, shoes, feet and gait exactly. Do NOT regenerate the character poses. Only repaint hair, skin and clothing surfaces inside existing shapes. Variant02: simple muted brick-russet wool tunic with a plain tan belt, brown soft shoes unchanged, flaxen short bare hair, pale weathered natural skin. Southern England1300–1450 painterly isometric game sprite matching original brushwork. Four directions across NE SE SW NW, row0 androw1 opposite walking steps MUST remain exact from original. Preserve direction of faces and all arms. No coif, no objects, no facial hair, no backdrop, actual transparent background, no text. Output same layout and proportions as target. Clothing and hair identical costume across all directions and frames. All feet pixels and leg pose unchanged. This is a reskin edit only.","actor_child_template_m-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Per-cell row-wise registration of generated hair/cloth surfaces to template alpha; 78% native paint +22% original shading. Exact original alpha globally. Original RGBA retained from each cell bounding-box bottom-15 through cell bottom (entire lower legs/feet). No recolour-only substitute. Native output gait failed; final gait restored by protected template pixels.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Native image repeats leading foot between rows. Delivered composite retains original template gait pixel-for-pixel in protected lower regions; head centroid here measures alpha geometry, not facial landmark identity."
"wk_elder_f_01-v1","v1","actors/wk_elder_f_01-v1.png","846cfdc955ce5c9f0a4d29bd53e0848a7893694570c7c27ad6c8a62a4d11adc9","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8a8-bfc7-77a0-89aa-91ef8535e55e/exec-3c8ef0e3-7c8b-450a-a00e-49c8a0315bc5.png","1971607b82f4edef3d81fe26b226f00973558780bf6c1ada1e8826fe881382b6","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:03:22.901Z","ATTEMPT 1; selected=true
Use case: identity-preserve. Edit image 1, an existing 288x144 transparent game sprite sheet, NOT free generation. Preserve every cell location, exact pose, walking foot alternation, body outline, head centre and frame order. The sheet has 4 columns directions and 2 rows walk frames, each cell72x72. Image 2 is solely painterly elderly-woman garment inspiration. Reskin image1 into wk_elder_f_01-v1: elderly Southern English woman 1300–1450, pale aged skin and a little grey hair visible beneath a warm ivory linen wimple, long muted blue-grey wool gown with dull ochre narrow belt. Identical wimple silhouette and gown length in all four directions and both frames. Paint fabric folds and skin with soft project hand painted brushwork. No widow black requirement. Do not add props or staff. CRITICAL leave ALL feet, ankles, lower leg poses and the bottom14px of each original cell unchanged. Keep arms/hands where they are. Exact original body silhouette and head position, just paint replacement clothes, skin and hair inside original sprite. Genuine transparent background. No words or grids. Preserve source canvas aspect2:1 and original character placements even if output is larger. Soft upper-left light, minimal tiny contact shadow only.","actor_elder_template_f-v1.png; wk_reskin_P6_widow_f-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Per-cell row-wise registration of generated hair/cloth surfaces to template alpha; 90% native paint +10% original shading; native paint area-sampled over5x5 before final registration. Exact original alpha globally. Original RGBA retained from each cell bounding-box bottom-6 through cell bottom (lower shoe/contact region; all other pose silhouette retained via original alpha). No recolour-only substitute. Native output gait failed; final gait restored by protected template pixels.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Native image repeats leading foot between rows. Delivered composite retains original template gait pixel-for-pixel in protected lower regions; head centroid here measures alpha geometry, not facial landmark identity. Prompt originally misstated288x144; measured final296x148 is authoritative. Native02 first coif attempt retained veil and was rejected; second edit selected. Full prompt is preserved verbatim."
"wk_elder_f_02-v1","v1","actors/wk_elder_f_02-v1.png","4de53017b97ffba24e91e0d42057c4d9d5a6c78f081ec503e6a1dfbc2923adbc","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8a8-bfc7-77a0-89aa-91ef8535e55e/exec-bb9f3f5d-0948-441d-8117-5d92ce839453.png","4b3bdc77ad48acb14d347cf16d0aa6ad92ac633392de33ddca09e2b6759952a3","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:05:24.539Z","ATTEMPT 1; selected=false
Use case: identity-preserve. Edit image 1, an existing 288x144 transparent game sprite sheet, NOT free generation. Preserve every cell location, exact pose, walking foot alternation, body outline, head centre and frame order. The sheet has 4 columns directions and 2 rows walk frames, each cell72x72. Image 2 is solely painterly elderly-woman garment inspiration. Reskin image1 into wk_elder_f_02-v1: elderly Southern English woman 1300–1450, pale aged skin and a little grey hair visible beneath a muted taupe fitted linen coif with grey hair at the temples, long muted sage-olive wool gown with warm umber apron and narrow belt. Identical fitted coif silhouette and gown length in all four directions and both frames. Paint fabric folds and skin with soft project hand painted brushwork. No widow black requirement. Do not add props or staff. CRITICAL leave ALL feet, ankles, lower leg poses and the bottom14px of each original cell unchanged. Keep arms/hands where they are. Exact original body silhouette and head position, just paint replacement clothes, skin and hair inside original sprite. Genuine transparent background. No words or grids. Preserve source canvas aspect2:1 and original character placements even if output is larger. Soft upper-left light, minimal tiny contact shadow only.

ATTEMPT 2; selected=true
Use case: identity-preserve. Edit image 1, an existing 288x144 transparent game sprite sheet, NOT free generation. Preserve every cell location, exact pose, walking foot alternation, body outline, head centre and frame order. The sheet has 4 columns directions and 2 rows walk frames, each cell72x72. Image 2 is solely painterly elderly-woman garment inspiration. Reskin image1 into wk_elder_f_02-v1: elderly Southern English woman 1300–1450, pale aged skin and a little grey hair visible beneath a muted taupe fitted linen coif with grey hair at the temples, long muted sage-olive wool gown with warm umber apron and narrow belt. Identical fitted coif silhouette and gown length in all four directions and both frames. Paint fabric folds and skin with soft project hand painted brushwork. No widow black requirement. Do not add props or staff. CRITICAL leave ALL feet, ankles, lower leg poses and the bottom14px of each original cell unchanged. Keep arms/hands where they are. Exact original body silhouette and head position, just paint replacement clothes, skin and hair inside original sprite. Genuine transparent background. No words or grids. Preserve source canvas aspect2:1 and original character placements even if output is larger. Soft upper-left light, minimal tiny contact shadow only.
Targeted correction: the first attempt retained a long ivory veil. REPLACE THAT HEAD COVER with a SMALL CLOSE FITTING TAUPE COIF tied under chin, grey hair visible at temples. No long fabric hanging down back. All eight cells show same small coif. Keep each original template head outline/position. Actual edit template image is296x148, eight74px cells; previous288x144 description was erroneous. Preserve296x148 final layout. Keep everything else from this instruction.","actor_elder_template_f-v1.png; wk_reskin_P6_widow_f-v1.png","not exposed","2 native attempts; selected source recorded; see generation-history.json","Per-cell row-wise registration of generated hair/cloth surfaces to template alpha; 90% native paint +10% original shading; native paint area-sampled over5x5 before final registration. Exact original alpha globally. Original RGBA retained from each cell bounding-box bottom-6 through cell bottom (lower shoe/contact region; all other pose silhouette retained via original alpha). No recolour-only substitute. Native output gait failed; final gait restored by protected template pixels.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Native image repeats leading foot between rows. Delivered composite retains original template gait pixel-for-pixel in protected lower regions; head centroid here measures alpha geometry, not facial landmark identity. Prompt originally misstated288x144; measured final296x148 is authoritative. Native02 first coif attempt retained veil and was rejected; second edit selected. Full prompt is preserved verbatim."
"wk_elder_m_01-v1","v1","actors/wk_elder_m_01-v1.png","6e5a58e4cb9d1413a76b3eb93c557f1fc9a4045c141cc49baed3ea9ed7179a12","/tmp/astra-wave5c-candidates-20260925/actors/wk_elder_m_01-v1.png","6e5a58e4cb9d1413a76b3eb93c557f1fc9a4045c141cc49baed3ea9ed7179a12","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:05:04.158Z","ATTEMPT 1; selected=true
Use case: identity-preserve. Edit the supplied 296x148 transparent sprite sheet ONLY, preserving precisely all eight figures, their pixel positions, body silhouettes, feet, alternate stride poses, head centers and four viewing directions. This is a medieval southern English 1300-1450 city-builder elder male reskin, ID wk_elder_m_01-v1. Four columns and two animation rows EXACTLY as supplied. Change clothing surface to a muted slate-olive long wool gown within the original coat silhouette, gray hair and short gray beard visible consistently in the two front-facing views, bare gray-haired head in all four directions. Painterly broad readable forms, matching original subdued brown/olive project style. Do NOT change anatomy, poses, legs, shoes, gait, lighting, composition or sprite scale. Do not add cane, staff, accessories, shadow, text or panel borders. Actual transparent background. Preserve template foot pixels unchanged; head centers unchanged. A precise clothing/hair repaint over the supplied template, never a newly posed sheet.","actor_elder_template_m-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Per-cell source bounding-box registration and direct area downsample; apply generated RGB only within exact original template alpha; all cell-relative y>=43 lower body and foot RGBA pixels restored unchanged. Original silhouette retained; head alpha centroid therefore unchanged. No recolor-only substitution.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Native pose drift corrected mechanically, not native pixel-exact success. Grey hair/beard and garment repaint are generated. Long-gown hem limited to original template coat contour to preserve pixel pose; does not extend to ankles. Head <=2px evidence measures alpha support in head ROI, not semantic face landmark tracking."
"wk_elder_m_02-v1","v1","actors/wk_elder_m_02-v1.png","57c60fa33495d0b2182aee495e404eb7094f993446761d29ae7aabfc9f0a90fe","/tmp/astra-wave5c-candidates-20260925/actors/wk_elder_m_02-v1.png","57c60fa33495d0b2182aee495e404eb7094f993446761d29ae7aabfc9f0a90fe","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:05:04.206Z","ATTEMPT 1; selected=true
Use case: identity-preserve. PRECISE RESKIN EDIT of supplied 296x148 transparent sprite sheet, not free generation. Asset wk_elder_m_02-v1. Keep eight figures at exact same coordinates, four columns two alternate walking rows, same head centers and pixel silhouettes. Change ONLY clothing/hair/skin paint: elderly medieval southern English man (1300-1450), faded muted blue-gray wool long gown constrained to existing coat and leg silhouette, soft brown close-fitting wool cap on ALL eight figures, gray short beard under cap on both front views, gray hair at cap edge on back views. No staff or possessions. Painterly restrained earthy tones, large readable cloth folds and beard. Preserve all original feet/shoes and leg poses EXACTLY; first and second walking frame remain different as template. No changing stance, size, locations or direction; do not add background, ground shadow, letters, panels or borders. Transparent RGBA. Garment may only be repainted over existing body pixels; no widening silhouette.","actor_elder_template_m-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Per-cell source bounding-box registration and direct area downsample; apply generated RGB only within exact original template alpha; all cell-relative y>=43 lower body and foot RGBA pixels restored unchanged. Original silhouette retained; head alpha centroid therefore unchanged. No recolor-only substitution.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Native pose drift corrected mechanically, not native pixel-exact success. Grey hair/beard and garment repaint are generated. Long-gown hem limited to original template coat contour to preserve pixel pose; does not extend to ankles. Head <=2px evidence measures alpha support in head ROI, not semantic face landmark tracking."
"wall/stone_gate_v3_nesw-v1","v1","wall/stone_gate_v3_nesw-v1.png","2866d5585412c6e800c2eb352ca49c142d0b8bbc21fe3d1c4c88bd1012499477","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8a8-fda8-7290-8f21-0ab86b593203/exec-b6f6743f-c3cf-4937-a227-f98d0347877c.png","18ff3a44f271e473ddcb72d1fb34b4ed71f1896f35f306d6fd5d9cb7d6db9c8c","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:06:15.057Z","ATTEMPT 1; selected=true
Use case: sketch-to-render. Make ONE transparent-background hand-painted isometric medieval English stone gate sprite. First image is EXACT topology guide: retain its canvas aspect 384:320, fixed outer silhouette, long diagonal baseline rising toward the right (NE-SW axis), the two low side piers/towers, and MOST IMPORTANT the entire large transparent curved arch opening. Do not shrink or fill the opening. Do not make lintel. Paint this exact structural mask, not a taller or narrower gate. Second image stone_gate_v2 is ONLY material/art style reference, not proportions. Third and fourth images give exact desaturated grey-brown stone tone and block scale. Southern England 1300–1450. Stones irregular but coarse 12–16 pixels at final384-wide size, little mortar, no fine noise. Arch ring is radial wedge stones with clearly curved intrados, no horizontal slab across opening. Arch clear span204 of384 canvas pixels, straight jamb20, arch rise64, ring24, local vertical tower height112; ground slope1:2. Match first image geometry pixel-for-pixel when reduced to384x320. Add only tiny low crenellation indications within the existing top silhouette, do not grow towers or parapet height. Quiet flat top walk with muted highlights, left-upper soft light. Alpha transparent opening AND exterior, no background, no ground plane, no foliage, no doors, no people, no text, no cast shadow. Keep tall stone body texture consistent with project references. Output a single precisely aligned sprite, no grid or panels.","gates-nesw-topology.png; stone_gate_v2-v1.png; stone_face_a-v2.png; stone_top_a-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native image→final512x384 single Canvas affine registration: portal groundpoints span204px, baseline slope -0.5, maximum local vertical rise112px. Independent axis paint; no mirror. No arbitrary runtime scaling. Final PNG 3px Euclidean nearest opaque RGB bleed into alpha0 pixels only; visible RGBA byte-identical.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Candidate. Guide supplied before generation; native followed topology but changed outer pier widths, so final canvas enlarged to512x384 and registration documented."
"wall/stone_gate_v3_nwse-v1","v1","wall/stone_gate_v3_nwse-v1.png","925bf39f9a3d3f502746c456b9bd415bcc2bf99fd9b4bb754f89a28409248952","/Users/rexxa/Library/Application Support/orca/codex-accounts/54be5844-95fd-4c46-925c-75327ccd186a/home/generated_images/01a0d8a8-fda8-7290-8f21-0ab86b593203/exec-ff5cd5b5-4d7a-4f02-8669-0e5bf7671caa.png","59f741aea56e6611867e56aad38dcbe080e084b99af1d5a06efc87385b09a7b3","native image_gen edits; Canvas/PNG deterministic registration","not exposed","2026-09-25T13:05:11.569Z","ATTEMPT 1; selected=true
Use case: sketch-to-render. Make ONE transparent-background hand-painted isometric medieval English stone gate sprite. First image is EXACT topology guide: retain its canvas aspect 384:320, fixed outer silhouette, long diagonal baseline falling toward the right (NW-SE axis), the two low side piers/towers, and MOST IMPORTANT the entire large transparent curved arch opening. Do not shrink or fill the opening. Do not make lintel. Paint this exact structural mask, not a taller or narrower gate. Second image stone_gate_v2 is ONLY material/art style reference, not proportions. Third and fourth images give exact desaturated grey-brown stone tone and block scale. Southern England 1300–1450. Stones irregular but coarse 12–16 pixels at final384-wide size, little mortar, no fine noise. Arch ring is radial wedge stones with clearly curved intrados, no horizontal slab across opening. Arch clear span204 of384 canvas pixels, straight jamb20, arch rise64, ring24, local vertical tower height112; ground slope1:2. Match first image geometry pixel-for-pixel when reduced to384x320. Add only tiny low crenellation indications within the existing top silhouette, do not grow towers or parapet height. Quiet flat top walk with muted highlights, left-upper soft light. Alpha transparent opening AND exterior, no background, no ground plane, no foliage, no doors, no people, no text, no cast shadow. Keep tall stone body texture consistent with project references. Output a single precisely aligned sprite, no grid or panels.","gates-nwse-topology.png; stone_gate_v2-v1.png; stone_face_a-v2.png; stone_top_a-v1.png","not exposed","1 native attempts; selected source recorded; see generation-history.json","Native image→final512x384 single Canvas affine registration: portal groundpoints span204px, baseline slope 0.5, maximum local vertical rise112px. Independent axis paint; no mirror. No arbitrary runtime scaling. Final PNG 3px Euclidean nearest opaque RGB bleed into alpha0 pixels only; visible RGBA byte-identical.","AB_2026-09-19_v1","S_England_1300_1450_v1","Astra Wave5c","candidate only; no game installation","candidate","Candidate. Guide supplied before generation; native followed topology but changed outer pier widths, so final canvas enlarged to512x384 and registration documented."
