id,same_identity_256,same_identity_96,clothing_blind,closest_pair_note,notes
I037_young,PASS,PASS,PASS,,매부리코·긴 턱·눈썹이 유지되며 노년의 두피와 목 변화가 잘 읽힌다.
I037_mature,PASS,PASS,PASS,,매부리코·긴 턱·눈썹이 유지되며 노년의 두피와 목 변화가 잘 읽힌다.
I037_old,PASS,PASS,PASS,,매부리코·긴 턱·눈썹이 유지되며 노년의 두피와 목 변화가 잘 읽힌다.
I038_young,PASS,PASS,PASS,,넓은 코·작고 높은입·둥근턱을 유지한다. 노년의 실제hood로 메타데이터를 정정하여 그림과 일치한다.
I038_mature,PASS,PASS,PASS,,넓은 코·작고 높은입·둥근턱을 유지한다. 노년의 실제hood로 메타데이터를 정정하여 그림과 일치한다.
I038_old,PASS,PASS,PASS,,넓은 코·작고 높은입·둥근턱을 유지한다. 노년의 실제hood로 메타데이터를 정정하여 그림과 일치한다.
I039_young,PASS,PASS,PASS,,넓은 얼굴과 코·짧은 콧수염·턱살 유지. felt→coifcap→hood의 차이 확인.
I039_mature,PASS,PASS,PASS,,넓은 얼굴과 코·짧은 콧수염·턱살 유지. felt→coifcap→hood의 차이 확인.
I039_old,PASS,PASS,PASS,,넓은 얼굴과 코·짧은 콧수염·턱살 유지. felt→coifcap→hood의 차이 확인.
I040_young,PASS,PASS,PASS,,넓은 얼굴과 둥근 턱 유지. 청년-장년 차이는96px에서 작지만 노년은 회색머리와 얼굴 처짐으로 구분된다.
I040_mature,PASS,PASS,PASS,,넓은 얼굴과 둥근 턱 유지. 청년-장년 차이는96px에서 작지만 노년은 회색머리와 얼굴 처짐으로 구분된다.
I040_old,PASS,PASS,PASS,,넓은 얼굴과 둥근 턱 유지. 청년-장년 차이는96px에서 작지만 노년은 회색머리와 얼굴 처짐으로 구분된다.
I041_young,PASS,PASS,PASS,,얼굴 폭·코·턱 유지. 풀어내린 머리→fillet/barbette→hood 전환과 노년 미소가 자연스럽다.
I041_mature,PASS,PASS,PASS,,얼굴 폭·코·턱 유지. 풀어내린 머리→fillet/barbette→hood 전환과 노년 미소가 자연스럽다.
I041_old,PASS,PASS,PASS,,얼굴 폭·코·턱 유지. 풀어내린 머리→fillet/barbette→hood 전환과 노년 미소가 자연스럽다.
I042_young,PASS,PASS,PASS,,"큰 눈·긴 인중·턱이 유지된다. 장년fillet/net 명확, 턱끈은 얇은 외곽선 수준이다. 노년veil/wimple 명확."
I042_mature,PASS,PASS,PASS,,"큰 눈·긴 인중·턱이 유지된다. 장년fillet/net 명확, 턱끈은 얇은 외곽선 수준이다. 노년veil/wimple 명확."
I042_old,PASS,PASS,PASS,,"큰 눈·긴 인중·턱이 유지된다. 장년fillet/net 명확, 턱끈은 얇은 외곽선 수준이다. 노년veil/wimple 명확."
I043_young,PASS,PASS,PASS,,볼살·작은 코와 입·처진 턱 유지. 세 단계 미소 유지. 노년 회색머리와 목 주름 자연스럽다.
I043_mature,PASS,PASS,PASS,,볼살·작은 코와 입·처진 턱 유지. 세 단계 미소 유지. 노년 회색머리와 목 주름 자연스럽다.
I043_old,PASS,PASS,PASS,,볼살·작은 코와 입·처진 턱 유지. 세 단계 미소 유지. 노년 회색머리와 목 주름 자연스럽다.
I044_young,PASS,PASS,PASS,,꺾인 코·콧수염·미간 유지. 모자 세 종류 구분됨. 장년의 근심에서 노년의 미소로 변화가 읽힌다.
I044_mature,PASS,PASS,PASS,,꺾인 코·콧수염·미간 유지. 모자 세 종류 구분됨. 장년의 근심에서 노년의 미소로 변화가 읽힌다.
I044_old,PASS,PASS,PASS,,꺾인 코·콧수염·미간 유지. 모자 세 종류 구분됨. 장년의 근심에서 노년의 미소로 변화가 읽힌다.
I045_young,PASS,PASS,PASS,,눈 간격·코끝·귀·수염 골격 유지. 노년 대머리와 희끗한 수염으로 뚜렷하게 늙는다.
I045_mature,PASS,PASS,PASS,,눈 간격·코끝·귀·수염 골격 유지. 노년 대머리와 희끗한 수염으로 뚜렷하게 늙는다.
I045_old,PASS,PASS,PASS,,눈 간격·코끝·귀·수염 골격 유지. 노년 대머리와 희끗한 수염으로 뚜렷하게 늙는다.
