"id","identity_id","stage","file","sex","age_group","age","class","body","direction","hair_color","skin_tone","features","clothing","marital_status","source_file","source_sha256","reference_files","prompt","sha256"
"P01","P01","pool","portraits/P01.png","m","young","26","labour","thin","left","chestnut","light cool rosy freckled skin","very long narrow cranium, oversized projecting ears, long straight broad-bridge nose slightly turned down, close-set grey eyes, thin lips, cleft narrow chin, long thin neck and bony shoulders, clean shaven","faded woad-blue wool tunic with repaired shoulder, undyed linen neck, no hat, barely visible wooden spade handle at shoulder","unmarried","provenance/raw/P01.png","f27a7fea017dc46547303d5ce2d388b2e67dfa0ee1d837b2c3a6c0a99bacfd02","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. Male farm labourer age26, THIN with a very long narrow cranium, oversized projecting ears, long straight broad-bridge nose with slightly downturned tip, close-set grey eyes, thin lips, cleft narrow chin, long thin neck and bony sloping shoulders. Light cool rosy skin scattered freckles, chestnut untidy ear-length hair, clean shaven. Left-facing three-quarter: nose clearly points to IMAGE LEFT, both eyes visible. Faded woad-blue wool tunic with neatly repaired shoulder, undyed linen at neck, NO hat. Barely visible wooden spade handle at lower shoulder. Neutral thoughtful expression, no smile. A distinctive unusual but entirely plausible real face; not conventionally handsome.","4d5fbcfefa9fb22364106d9f76f20e3d8f28b1c78e8ed8257786e131b664dc3f"
"P02","P02","pool","portraits/P02.png","f","child","12","labour","fat","right","dark chestnut","light warm ivory with rosy cheeks","broad round child face, low flat nasal bridge and wide nose tip, small close-set hazel eyes, full cheeks and soft short neck, softly uneven front teeth","muted brick-red wool kirtle, unbleached linen apron, two practical plaits","child","provenance/raw/P02.png","fef5a1abfc173510b6431f0882da09f1ca1bdefbff0269529e24b50da3fc7c6a","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 12-year-old female person in southern England around 1300; authentically facing toward viewer RIGHT in a three-quarter view, nose projecting toward image right. visibly fat build, full cheeks and fleshy jaw, thick neck and broad soft shoulders. Unique anatomical identity: broad round child face, low flat nasal bridge and wide nose tip, small close-set hazel eyes, full cheeks and soft short neck, softly uneven front teeth. Skin: light warm ivory with rosy cheeks; hair: dark chestnut. Period clothing integrated naturally into this complete bust portrait: muted brick-red wool kirtle, unbleached linen apron, two practical plaits. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","56d08f44c8283a9b6a87c20a79f4b128e44feb38999fec156b202a84ade78068"
"P03","P03","pool","portraits/P03.png","m","child","10","labour","average","front","golden brown","fair pink with scattered freckles","small triangular child face, disproportionately large round grey eyes, snub button nose, protruding cup ears, tiny pointed chin, normal child cheek volume and short neck","plain faded moss-green wool tunic, loose oatmeal linen coif, no adult tools","child","provenance/raw/P03.png","5ba47847ae7f92577594346806fba0e13965f51eee6354dde3376477d1fd7b08","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 10-year-old boy in southern England around 1300, almost front-facing with natural slight asymmetry and both cheeks visible. Average healthy child build, short child neck and small shoulders. Small triangular child face, disproportionately large round grey eyes, snub button nose, protruding cup ears, tiny pointed chin. Fair pink skin with scattered freckles, golden-brown hair. Plain faded moss-green wool tunic and loose oatmeal linen coif, no adult tools. A naturally integrated complete bust portrait, not assembled layers. Natural dignified expression, distinct realistic child anatomy, never miniature adult or caricature. Do not copy facial anatomy from style reference. No moral meaning attached to body or skin. Paint directly, never mirror.","26b3344a4f3a5e6d2e3a2aa17067e8805156f68d948ad19f9feaff45f0fc8afb"
"P04","P04","pool","portraits/P04.png","f","mature","43","labour","thin","right","copper auburn","fair cool pink with dense freckles","long lean oblong skull, pronounced cheekbones, long straight narrow nose, wide-set slightly downturned green eyes, sharply defined long chin, fine wide lips","faded grey-blue wool kirtle, linen apron, cream headcloth fully covering crown and tied behind neck","married","provenance/raw/P04.png","80b8d349ecc9f020739c23abcbe639349d358c829a51dc1f28329d52b67042f6","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 43-year-old female person in southern England around 1300; authentically facing toward viewer RIGHT in a three-quarter view, nose projecting toward image right. visibly lean build, angular cheek and slender neck and shoulders. Unique anatomical identity: long lean oblong skull, pronounced cheekbones, long straight narrow nose, wide-set slightly downturned green eyes, sharply defined long chin, fine wide lips. Skin: fair cool pink with dense freckles; hair: copper auburn. Period clothing integrated naturally into this complete bust portrait: faded grey-blue wool kirtle, linen apron, cream headcloth fully covering crown and tied behind neck. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","c6bd7d5c3f3a3756c57bbdecba4e8b4a5b3d8421f7efb0eca6f1e3a6693ad2b7"
"P05","P05","pool","portraits/P05.png","m","mature","48","labour","fat","front","sandy brown","pale neutral ivory with ruddy nose","very short broad face, broad flattened bulbous nose, heavy upper eyelids, small grey eyes, soft deep jowls and thick neck, broad low ears, scant short sandy moustache","subdued madder-red stout wool tunic, worn brown leather shoulder strap, simple undyed cap pushed back","married","provenance/raw/P05.png","24dc3a70c349fb15fbbcf4fec844dbb45be6003a8f5dedf52ebe5b74c242028b","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 48-year-old male person in southern England around 1300; almost front-facing, natural slight asymmetry, both cheeks visible. visibly fat build, full cheeks and fleshy jaw, thick neck and broad soft shoulders. Unique anatomical identity: very short broad face, broad flattened bulbous nose, heavy upper eyelids, small grey eyes, soft deep jowls and thick neck, broad low ears, scant short sandy moustache. Skin: pale neutral ivory with ruddy nose; hair: sandy brown. Period clothing integrated naturally into this complete bust portrait: subdued madder-red stout wool tunic, worn brown leather shoulder strap, simple undyed cap pushed back. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","3ca0c80672369f038526e238a5c609000affe285a7ae4942b382229b64f42de0"
"P06","P06","pool","portraits/P06.png","f","old","69","labour","average","left","silver grey","light honey beige with fine age spots","narrow high forehead over wide angular jaw, gently aquiline nose, one eyebrow naturally higher, narrow brown eyes, thin folded mouth with a visible missing upper side tooth in a slight smile, folded asymmetrical ears","moss-grey wool kirtle, off-white conservative wimple and simple veil, no black mourning uniform","widow","provenance/raw/P06.png","88fab6a982e32751f1891024b6a5a703796db987f1f5f7cd6888fe7ab8d725df","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 69-year-old female person in southern England around 1300; authentically facing toward viewer LEFT in a three-quarter view, nose projecting toward image left. ordinary medium build with natural cheek volume, medium neck and shoulders. Unique anatomical identity: narrow high forehead over wide angular jaw, gently aquiline nose, one eyebrow naturally higher, narrow brown eyes, thin folded mouth with a visible missing upper side tooth in a slight smile, folded asymmetrical ears. Skin: light honey beige with fine age spots; hair: silver grey. Period clothing integrated naturally into this complete bust portrait: moss-grey wool kirtle, off-white conservative wimple and simple veil, no black mourning uniform. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","6875ab687593d2f644c4256c1d1d908343e3b97fc206742d7531ef75f3e4084f"
"P07","P07","pool","portraits/P07.png","f","child","9","artisan","average","front","auburn brown","light peach with subtle yellow undertone","high rounded child forehead, wide-set almond brown eyes, tiny upturned nose, lower lip fuller than upper, broad little chin, one ear slightly farther out","plain muted yellow-ochre wool kirtle, simple cream linen headband, brown plaits, household apprentice context without heavy tools","child","provenance/raw/P07.png","dd05c5dacf7b7d6f50c2d527e340b3ac694b6b2f4d7ce4219fdac1479ac18083","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png; provenance/references/07f3c0b5566d-청지기_화풍참조.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 9-year-old female person in southern England around 1300; almost front-facing, natural slight asymmetry, both cheeks visible. ordinary medium build with natural cheek volume, medium neck and shoulders. Unique anatomical identity: high rounded child forehead, wide-set almond brown eyes, tiny upturned nose, lower lip fuller than upper, broad little chin, one ear slightly farther out. Skin: light peach with subtle yellow undertone; hair: auburn brown. Period clothing integrated naturally into this complete bust portrait: plain muted yellow-ochre wool kirtle, simple cream linen headband, brown plaits, household apprentice context without heavy tools. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","8a1f8e1f669c1b6493ff3b52d0c53bcec7f398c25fbdca8a87cee5dc093d76df"
"P08","P08","pool","portraits/P08.png","m","young","24","artisan","thin","left","red brown","very fair rosy ivory","short broad diamond-shaped cranium despite lean body, very wide high cheekbones and abruptly small recessed chin, extremely short upturned snub nose with broad nostrils, wide-set round amber eyes, low horizontal brow, small close-fitting ears, broad fleshy lips and a tiny healed cleft scar at upper lip; sparse straight copper hair","dull grey-green wool tunic, natural leather cobbler apron, small awl secured at chest edge, no modern haircut; soft plain brown wool cap visible in selected painting","unmarried","provenance/raw/P08.png","6e031c59bc932ec8e3116500fd59591cce254cb09a1294ced3aa98d73e7c126c","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. A24yearold male cobbler, thin lanky neck and bony shoulders BUT a SHORT WIDE DIAMOND face, NOT a long face. short broad diamond-shaped cranium despite lean body, very wide high cheekbones and abruptly small recessed chin, extremely short upturned snub nose with broad nostrils, wide-set round amber eyes, low horizontal brow, small close-fitting ears, broad fleshy lips and a tiny healed cleft scar at upper lip; sparse straight copper hair. Veryfair ivory skin, copperhair. Left threequarter nose points imageLEFT. Dullgreygreen wool tunic, naturalleather cobbler apron and smallawlsecuredatchest. No beard. Realistic unusual natural features, no caricature.","9842ffffb28188c951e7a588686bd2fa0c1a556124e45ec7c3bff838af008a10"
"P09","P09","pool","portraits/P09.png","f","young","22","artisan","fat","right","ash blonde","very pale cool porcelain with pink nose and cheeks","heavy broad rectangular face with wide square jaw padded with soft fat, very long broad hooked nose, very small close-set grey eyes beneath high arched sparse eyebrows, exceptionally wide thin-lipped mouth, slight natural convergent strabismus, low wide forehead, short thick neck and double chin","dusty woad-blue wool kirtle, neat linen work apron, simple linen coif covering crown, tiny spindle end at lower edge","married","provenance/raw/P09.png","56c0543d3e698b9e699ae1a383d0359ccb42e23806aa5f7fa380068dc36a344d","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. Young adult female24, FAT broadsoftshoulders thickneck softdoublechin. RIGHTfacing3/4 nosepointsimageRIGHT. heavy broad rectangular face with wide square jaw padded with soft fat, very long broad hooked nose, very small close-set grey eyes beneath high arched sparse eyebrows, exceptionally wide thin-lipped mouth, slight natural convergent strabismus, low wide forehead, short thick neck and double chin. very pale cool porcelain with pink nose and cheeks. Ashblondehair fullyunder fittedlinen coif, fadedwoadblue woolkirtle andunbleachedapron, artisanretailer. Not roundbuttonnoseface, NO childlikefeatures. Anatomicallyrealistic distinctadultwoman, no caricature. Nose LONGHOOKED visibly larger than mouthheight. Wide squarepaddedjaw.","00febe551bfbbdf03004957826c16bce518284cc6d8c70f83f98b1d46748f704"
"P10","P10","pool","portraits/P10.png","m","mature","39","artisan","average","right","dark brown","fair peach with red cheek undertone","diamond face with broad high cheekbones and narrow jaw, strong convex nose with angular tip, visibly uneven eyebrow height, medium-wide hazel eyes, long thin mouth, short dense pointed beard","muted brick-red tunic, worn leather smith apron with modest soot staining on fabric, plain linen coif, no armor","married","provenance/raw/P10.png","ae14c405d999c1c3cca55527d69b34a9227d937607c3aa8b033ce0d3a1501793","provenance/references/4fe32158e0ec-pt_pilot_P1-v1.png; provenance/references/f38fd1c9242e-pt_pilot_P5-v1.png","Use case: historical-scene. Create ONE complete indivisible painted bust portrait for a historical game, a genuinely different human individual, not a face template with changed costume. Southern England circa 1300. Square composition, entire head with comfortable top margin, upper torso and both shoulders naturally cropped at bottom, eye line about 40-48% of height. Plain uniform low-saturation grey-brown background like the references, opaque. Natural hand-painted realism matching pilot references: fine restrained brush texture, believable skin and wool, soft upper-left illumination, muted earth/woad/madder palette. Not photographic, not caricature, no black outlines, no text, no frame, no lettering, no symbols in background. References are ONLY painting style/finish examples, NEVER copy their face, skull, pose or clothing. Subject-specific bone structure, age, body fat and asymmetries must be immediately apparent at96px. Paint direction natively; do not mirror any reference. No modern haircuts, no modern priest collar, no bright primary colors. Face physique and skin tone must not communicate moral worth. Draw coherent full person and garment together, no layers, no cutout look. One distinct 39-year-old male person in southern England around 1300; authentically facing toward viewer RIGHT in a three-quarter view, nose projecting toward image right. ordinary medium build with natural cheek volume, medium neck and shoulders. Unique anatomical identity: diamond face with broad high cheekbones and narrow jaw, strong convex nose with angular tip, visibly uneven eyebrow height, medium-wide hazel eyes, long thin mouth, short dense pointed beard. Skin: fair peach with red cheek undertone; hair: dark brown. Period clothing integrated naturally into this complete bust portrait: muted brick-red tunic, worn leather smith apron with modest soot staining on fabric, plain linen coif, no armor. Natural dignified human expression; anatomy is distinctive but believable, never caricature. Do not copy facial anatomy, head proportions, pose or body silhouette from the style reference. No moral meaning attached to body shape, skin tone, age or class. Paint this direction directly, never mirror an existing portrait.","f7bc8e72f46953b8202ef55741f74ba6fd9cfd943569df4d1416a90aae57038a"
